seed,window_index,group,start,true_class,predicted_class,rank,channel,topic,subsystem,abs_shap
0,275,14,832.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.6262090839487466
0,275,14,832.0,External Position,External Position,2,estimator_status.pos_test_ratio,estimator_status,Global Position,0.457009453919761
0,275,14,832.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4311662700664811
0,275,14,832.0,External Position,External Position,4,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.27958817659343965
0,275,14,832.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.23661622952256728
0,275,14,832.0,External Position,External Position,6,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.20414289819203876
0,275,14,832.0,External Position,External Position,7,ekf2_innovations.vel_pos_innov[3],ekf2_innovations,Global Position,0.1906709605290373
0,275,14,832.0,External Position,External Position,8,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.18282440331065153
0,275,14,832.0,External Position,External Position,9,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,0.18223737190412148
0,275,14,832.0,External Position,External Position,10,vehicle_vision_position.y,vehicle_vision_position,External Position,0.15679943666924206
0,276,14,840.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.6483233028503779
0,276,14,840.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.47505663788154
0,276,14,840.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.4371924107684757
0,276,14,840.0,External Position,External Position,4,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.24352076179200832
0,276,14,840.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.23118188148911945
0,276,14,840.0,External Position,External Position,6,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.20165530464062303
0,276,14,840.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.17306008017756902
0,276,14,840.0,External Position,External Position,8,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.13508052484219335
0,276,14,840.0,External Position,External Position,9,vehicle_vision_position.y,vehicle_vision_position,External Position,0.1335458457480951
0,276,14,840.0,External Position,External Position,10,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.12554445370444622
0,277,14,848.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.6520548606231031
0,277,14,848.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4751629051428007
0,277,14,848.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.4455785981045356
0,277,14,848.0,External Position,External Position,4,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.2491429273892492
0,277,14,848.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.23303050555005553
0,277,14,848.0,External Position,External Position,6,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.1886837563267531
0,277,14,848.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.1769171662044912
0,277,14,848.0,External Position,External Position,8,vehicle_vision_position.y,vehicle_vision_position,External Position,0.14124542211492577
0,277,14,848.0,External Position,External Position,9,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.13935506735355466
0,277,14,848.0,External Position,External Position,10,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.11998543245726072
0,278,14,856.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.662739352611936
0,278,14,856.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4869221164870125
0,278,14,856.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.45105084578548693
0,278,14,856.0,External Position,External Position,4,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.2351946717892223
0,278,14,856.0,External Position,External Position,5,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.20694029873742098
0,278,14,856.0,External Position,External Position,6,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.1991655776309868
0,278,14,856.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.1920411495637103
0,278,14,856.0,External Position,External Position,8,vehicle_vision_position.y,vehicle_vision_position,External Position,0.14565043057066204
0,278,14,856.0,External Position,External Position,9,manual_control_setpoint.z,manual_control_setpoint,Altitude,0.12069665283171951
0,278,14,856.0,External Position,External Position,10,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.12024423594269927
0,279,14,864.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.663816065755626
0,279,14,864.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4778878322305961
0,279,14,864.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.45173186723673264
0,279,14,864.0,External Position,External Position,4,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.234871760358529
0,279,14,864.0,External Position,External Position,5,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.20357815033999072
0,279,14,864.0,External Position,External Position,6,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.20189182658489277
0,279,14,864.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.19210002001342977
0,279,14,864.0,External Position,External Position,8,vehicle_vision_position.y,vehicle_vision_position,External Position,0.15716037657090595
0,279,14,864.0,External Position,External Position,9,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.12639055088519593
0,279,14,864.0,External Position,External Position,10,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.11907559824771959
0,280,14,872.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.6731151604218448
0,280,14,872.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4754293752107815
0,280,14,872.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.4446842544348061
0,280,14,872.0,External Position,External Position,4,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.2722784164072708
0,280,14,872.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.2429272963257915
0,280,14,872.0,External Position,External Position,6,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.19491471167900856
0,280,14,872.0,External Position,External Position,7,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.17375855795648834
0,280,14,872.0,External Position,External Position,8,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,0.14350833061600893
0,280,14,872.0,External Position,External Position,9,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.12341577965382813
0,280,14,872.0,External Position,External Position,10,estimator_status.hgt_test_ratio,estimator_status,Altitude,0.11400117317479085
0,281,14,880.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.655201479129585
0,281,14,880.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4745912388145781
0,281,14,880.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.44949242761147223
0,281,14,880.0,External Position,External Position,4,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.23214503040955023
0,281,14,880.0,External Position,External Position,5,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.21089382239734003
0,281,14,880.0,External Position,External Position,6,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.20924786162762726
0,281,14,880.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.1955286416330617
0,281,14,880.0,External Position,External Position,8,vehicle_vision_position.y,vehicle_vision_position,External Position,0.1649641613390792
0,281,14,880.0,External Position,External Position,9,vehicle_local_position.z,vehicle_local_position,Altitude,0.1342148185319446
0,281,14,880.0,External Position,External Position,10,vehicle_attitude_setpoint.yaw_body,vehicle_attitude_setpoint,Global Position,0.12632657351653237
0,282,14,888.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.647500241802617
0,282,14,888.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4608412804360967
0,282,14,888.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.4206781363959443
0,282,14,888.0,External Position,External Position,4,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.24578947052866265
0,282,14,888.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.22988587513263378
0,282,14,888.0,External Position,External Position,6,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.2096915552801001
0,282,14,888.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.1646422029416948
0,282,14,888.0,External Position,External Position,8,vehicle_vision_position.y,vehicle_vision_position,External Position,0.14615204723870326
0,282,14,888.0,External Position,External Position,9,vehicle_local_position.z,vehicle_local_position,Altitude,0.1456473993235117
0,282,14,888.0,External Position,External Position,10,sensor_combined.accelerometer_m_s2[0],sensor_combined,Mechanical/Electrical,0.1335687058916232
0,283,14,896.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.648724132452806
0,283,14,896.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4596427150558522
0,283,14,896.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.4164868669641958
0,283,14,896.0,External Position,External Position,4,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.24541241129180388
0,283,14,896.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.23465115776445652
0,283,14,896.0,External Position,External Position,6,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.21000574428309055
0,283,14,896.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.16410681352462173
0,283,14,896.0,External Position,External Position,8,vehicle_local_position.z,vehicle_local_position,Altitude,0.14581491911070407
0,283,14,896.0,External Position,External Position,9,vehicle_vision_position.y,vehicle_vision_position,External Position,0.13891070458170718
0,283,14,896.0,External Position,External Position,10,sensor_combined.accelerometer_m_s2[0],sensor_combined,Mechanical/Electrical,0.13498424786636318
0,284,14,904.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.392721138960671
0,284,14,904.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.4261182570484711
0,284,14,904.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.37424693676941506
0,284,14,904.0,External Position,External Position,4,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.2940151911870511
0,284,14,904.0,External Position,External Position,5,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.218080401040706
0,284,14,904.0,External Position,External Position,6,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.21785772813363935
0,284,14,904.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.16241981631753707
0,284,14,904.0,External Position,External Position,8,manual_control_setpoint.y,manual_control_setpoint,Global Position,0.14371572897108698
0,284,14,904.0,External Position,External Position,9,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,0.13624493253501305
0,284,14,904.0,External Position,External Position,10,vehicle_local_position.z,vehicle_local_position,Altitude,0.1289473208946235
0,285,14,912.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.54666971761792
0,285,14,912.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.41672676777106343
0,285,14,912.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.4048874132127518
0,285,14,912.0,External Position,External Position,4,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.32446766811670413
0,285,14,912.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.2246440961021577
0,285,14,912.0,External Position,External Position,6,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.1919986322762308
0,285,14,912.0,External Position,External Position,7,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,0.17561537311041833
0,285,14,912.0,External Position,External Position,8,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.1752754288272116
0,285,14,912.0,External Position,External Position,9,manual_control_setpoint.y,manual_control_setpoint,Global Position,0.14406831593502145
0,285,14,912.0,External Position,External Position,10,vehicle_local_position.az,vehicle_local_position,Altitude,0.14006591751881614
0,286,14,920.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.5488312588306183
0,286,14,920.0,External Position,External Position,2,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.38408981390887753
0,286,14,920.0,External Position,External Position,3,estimator_status.pos_test_ratio,estimator_status,Global Position,0.3761998132381476
0,286,14,920.0,External Position,External Position,4,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.2858459888636061
0,286,14,920.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.22505449086940954
0,286,14,920.0,External Position,External Position,6,actuator_controls_0.control[3],actuator_controls_0,Mechanical/Electrical,0.1894198218591339
0,286,14,920.0,External Position,External Position,7,actuator_controls_0.control[1],actuator_controls_0,Mechanical/Electrical,0.17650024727676938
0,286,14,920.0,External Position,External Position,8,vehicle_attitude.q[2],vehicle_attitude,Mechanical/Electrical,0.16877987001664602
0,286,14,920.0,External Position,External Position,9,manual_control_setpoint.y,manual_control_setpoint,Global Position,0.1534048513856785
0,286,14,920.0,External Position,External Position,10,estimator_status.pos_horiz_accuracy,estimator_status,Global Position,0.12289870288415262
0,287,14,928.0,External Position,External Position,1,vehicle_local_position.eph,vehicle_local_position,Global Position,1.4863537266961426
0,287,14,928.0,External Position,External Position,2,estimator_status.pos_test_ratio,estimator_status,Global Position,0.38650493601451685
0,287,14,928.0,External Position,External Position,3,actuator_outputs.output[2],actuator_outputs,Mechanical/Electrical,0.38521959812104256
0,287,14,928.0,External Position,External Position,4,ekf2_innovations.vel_pos_innov[4],ekf2_innovations,Global Position,0.2923652917874345
0,287,14,928.0,External Position,External Position,5,estimator_status.pos_vert_accuracy,estimator_status,Altitude,0.22688371129647597
