log_key,relative_path,status,size_bytes,start_timestamp_us,end_timestamp_us,duration_s,aligned_rows,topic_count,numeric_channel_count,annotation_classes,anomaly_interval_count,parse_error
2018-06-02/14_56_43,ulg_files/2018-06-02/14_56_43.ulg,usable,3715167,2399905640,2511478890,111.57325,1116,19,87,External Position,3,
2018-06-02/15_24_48,ulg_files/2018-06-02/15_24_48.ulg,usable,7545017,508137249,689214142,181.076893,1811,19,55,Uncategorized,0,
2018-06-02/15_27_56,ulg_files/2018-06-02/15_27_56.ulg,usable,1407821,696168704,725813289,29.644585,297,18,62,Uncategorized,0,
2018-06-02/15_37_07,ulg_files/2018-06-02/15_37_07.ulg,usable,1152250,332051186,381675114,49.623928,497,19,66,Uncategorized,0,
2018-06-02/15_51_56,ulg_files/2018-06-02/15_51_56.ulg,usable,854080,485477929,503151253,17.673324,177,15,51,Uncategorized,0,
2018-06-02/16_13_18,ulg_files/2018-06-02/16_13_18.ulg,usable,758149,1767626021,1782996069,15.370048,154,14,51,Uncategorized,0,
2018-06-04/18_01_59,ulg_files/2018-06-04/18_01_59.ulg,usable,3158305,397781149,448726483,50.945334,510,19,83,External Position,3,
2018-06-04/18_05_54,ulg_files/2018-06-04/18_05_54.ulg,usable,7039371,632626678,747715103,115.088425,1151,19,87,Mechanical,1,
2018-06-04/18_15_21,ulg_files/2018-06-04/18_15_21.ulg,usable,2193573,1199543593,1237626090,38.082497,381,19,79,Normal,0,
2018-06-04/18_17_58,ulg_files/2018-06-04/18_17_58.ulg,usable,7733474,1357110741,1483046292,125.935551,1260,19,83,Mechanical,1,
2018-06-04/18_21_53,ulg_files/2018-06-04/18_21_53.ulg,usable,3393089,1591466467,1648394323,56.927856,570,19,81,Altitude,1,
2018-06-04/18_25_07,ulg_files/2018-06-04/18_25_07.ulg,usable,8273831,1785479853,1920922378,135.442525,1355,19,86,Normal,0,
2018-06-04/18_33_02,ulg_files/2018-06-04/18_33_02.ulg,usable,11118705,2260743049,2445725500,184.982451,1850,19,89,Normal,0,
2018-06-04/18_36_56,ulg_files/2018-06-04/18_36_56.ulg,usable,7771441,2495087124,2622248747,127.161623,1272,19,86,Normal,0,
2018-06-04/18_48_21,ulg_files/2018-06-04/18_48_21.ulg,usable,6416923,243218979,350895492,107.676513,1077,19,83,Normal,0,
2018-06-04/19_00_07,ulg_files/2018-06-04/19_00_07.ulg,usable,3658061,134029440,196374802,62.345362,624,19,87,External Position,2,
2018-06-04/19_02_08,ulg_files/2018-06-04/19_02_08.ulg,usable,8609905,255644057,397095680,141.451623,1415,19,88,Normal,0,
2018-06-04/19_09_21,ulg_files/2018-06-04/19_09_21.ulg,usable,7878261,688438908,818547653,130.108745,1302,19,81,Normal,0,
2018-06-04/19_17_29,ulg_files/2018-06-04/19_17_29.ulg,usable,6803376,67273069,179475357,112.202288,1123,18,82,Normal,0,
2018-06-12/18_52_10,ulg_files/2018-06-12/18_52_10.ulg,usable,2168768,292970461,341017675,48.047214,481,17,78,Normal,0,
2018-06-12/19_05_12,ulg_files/2018-06-12/19_05_12.ulg,usable,1434700,689700778,746839703,57.138925,572,19,86,Uncategorized,0,
2018-06-12/19_06_44,ulg_files/2018-06-12/19_06_44.ulg,usable,3645787,781604624,870867445,89.262821,893,18,74,Uncategorized,0,
2018-06-12/19_24_37,ulg_files/2018-06-12/19_24_37.ulg,usable,4172745,237379697,325455453,88.075756,881,19,83,Normal,0,
2018-06-12/19_31_16,ulg_files/2018-06-12/19_31_16.ulg,usable,2402470,636073404,714343128,78.269724,783,19,81,Uncategorized,0,
2018-06-12/19_37_35,ulg_files/2018-06-12/19_37_35.ulg,usable,1165891,1015307340,1041463230,26.15589,262,19,81,Uncategorized,0,
2018-06-12/19_38_14,ulg_files/2018-06-12/19_38_14.ulg,usable,10094883,1054259106,1262689698,208.430592,2085,19,87,External Position,1,
2018-06-12/19_44_57,ulg_files/2018-06-12/19_44_57.ulg,usable,8254297,1457285892,1629214644,171.928752,1720,19,87,Normal,0,
2018-06-12/19_55_27,ulg_files/2018-06-12/19_55_27.ulg,usable,3950144,125338735,211140844,85.802109,859,19,86,External Position,2,
2018-06-12/19_58_56,ulg_files/2018-06-12/19_58_56.ulg,usable,813200,24549480,46735489,22.186009,222,15,45,Uncategorized,0,
2018-06-14/log003,ulg_files/2018-06-14/log003.ulg,usable,1267925,337039075,362986300,25.947225,260,18,82,Uncategorized,0,
2018-07-03/18_57_00,ulg_files/2018-07-03/18_57_00.ulg,usable,2019912,42794945,91536443,48.741498,488,19,86,Global Position,3,
2018-07-03/18_58_45,ulg_files/2018-07-03/18_58_45.ulg,usable,6232222,33526706,184348448,150.821742,1509,19,86,Normal,0,
2018-07-03/19_12_45,ulg_files/2018-07-03/19_12_45.ulg,usable,4484511,131913545,239631243,107.717698,1078,19,86,Normal,0,
2018-07-03/19_16_20,ulg_files/2018-07-03/19_16_20.ulg,usable,5587556,51950419,183558843,131.608424,1317,19,86,Normal,0,
2018-07-04/19_31_44,ulg_files/2018-07-04/19_31_44.ulg,usable,4486152,148689137,252506042,103.816905,1039,19,86,Normal,0,
2018-07-04/19_38_27,ulg_files/2018-07-04/19_38_27.ulg,missing,0,,,,0,0,0,Normal,0,
2018-07-04/19_39_24,ulg_files/2018-07-04/19_39_24.ulg,usable,2121673,161064258,210263256,49.198998,492,19,86,External Position,1,
2018-07-09/18_55_04,ulg_files/2018-07-09/18_55_04.ulg,usable,2087485,685032500,742784404,57.751904,578,22,74,Normal,0,
2018-07-09/18_56_32,ulg_files/2018-07-09/18_56_32.ulg,usable,4468412,773318913,899349077,126.030164,1261,22,74,Normal,0,
2018-07-09/19_05_45,ulg_files/2018-07-09/19_05_45.ulg,usable,3459120,90501352,186272395,95.771043,958,22,78,External Position,3,
2018-07-09/19_09_44,ulg_files/2018-07-09/19_09_44.ulg,usable,2806543,21441212,98587387,77.146175,772,22,78,External Position,1,
2018-07-09/19_13_16,ulg_files/2018-07-09/19_13_16.ulg,usable,2743910,72571149,148067038,75.495889,755,22,78,External Position,1,
2018-07-09/19_16_25,ulg_files/2018-07-09/19_16_25.ulg,usable,1893828,85442134,138222063,52.779929,528,22,78,External Position,1,
2018-07-09/19_20_08,ulg_files/2018-07-09/19_20_08.ulg,usable,3232204,151014191,239820941,88.80675,889,22,78,External Position,2,
2018-07-09/19_29_38,ulg_files/2018-07-09/19_29_38.ulg,usable,2720015,435419792,511046083,75.626291,757,22,78,External Position,2,
2018-07-09/19_32_44,ulg_files/2018-07-09/19_32_44.ulg,usable,5024148,51353575,193603638,142.250063,1423,22,74,Normal,0,
2018-07-09/19_36_34,ulg_files/2018-07-09/19_36_34.ulg,usable,1339134,30521182,68597276,38.076094,381,22,75,Normal,0,
2018-07-09/19_41_46,ulg_files/2018-07-09/19_41_46.ulg,usable,2984191,154937809,237655021,82.717212,828,22,78,External Position,1,
2018-07-09/19_44_18,ulg_files/2018-07-09/19_44_18.ulg,usable,6646474,30755520,215076665,184.321145,1844,22,78,External Position,1,
2018-07-09/19_50_38,ulg_files/2018-07-09/19_50_38.ulg,usable,1882729,166565606,219646843,53.081237,531,22,74,Normal,0,
2018-07-09/19_52_37,ulg_files/2018-07-09/19_52_37.ulg,usable,3266699,38384884,129836464,91.45158,915,22,78,External Position,1,
2018-07-09/19_56_32,ulg_files/2018-07-09/19_56_32.ulg,usable,9963524,110640622,387789080,277.148458,2772,22,74,Normal,0,
2018-07-09/20_03_46,ulg_files/2018-07-09/20_03_46.ulg,usable,5050946,14872159,157714870,142.842711,1429,22,73,Normal,0,
2018-07-23/sess006/log001,ulg_files/2018-07-23/sess006/log001.ulg,usable,1213277,989789041,1000712932,10.923891,110,20,63,Uncategorized,0,
2018-07-23/sess007/log001,ulg_files/2018-07-23/sess007/log001.ulg,usable,1137281,1119830640,1130735976,10.905336,110,20,63,Uncategorized,0,
2018-07-23/sess008/log001,ulg_files/2018-07-23/sess008/log001.ulg,usable,1001510,61191628,71940412,10.748784,108,20,63,Uncategorized,0,
2018-07-23/sess009/log001,ulg_files/2018-07-23/sess009/log001.ulg,usable,1634247,553305841,564044947,10.739106,108,21,54,Uncategorized,0,
2018-07-23/sess009/log002,ulg_files/2018-07-23/sess009/log002.ulg,usable,17048661,587076232,694293013,107.216781,1073,21,75,External Position,1,
2018-07-23/sess010/log001,ulg_files/2018-07-23/sess010/log001.ulg,usable,6254563,42020092,108305831,66.285739,663,21,75,External Position,1,
2018-07-23/sess011/log001,ulg_files/2018-07-23/sess011/log001.ulg,usable,17870854,17674374,146375772,128.701398,1288,21,77,External Position,1,
2018-07-23/sess012/log001,ulg_files/2018-07-23/sess012/log001.ulg,usable,32372732,12513915,220475121,207.961206,2080,21,80,External Position,1,
2018-07-25/sess004/log001,ulg_files/2018-07-25/sess004/log001.ulg,usable,1155368,1924951870,1935866215,10.914345,110,20,62,Uncategorized,0,
2018-07-25/sess006/log001,ulg_files/2018-07-25/sess006/log001.ulg,usable,317892,344852517,485952964,141.100447,1412,21,71,External Position,0,
2018-07-25/sess007/log002,ulg_files/2018-07-25/sess007/log002.ulg,usable,469714,101169863,323381972,222.212109,2223,21,76,External Position,1,
2018-07-25/sess008/log001,ulg_files/2018-07-25/sess008/log001.ulg,usable,249404,31283945,138288976,107.005031,1071,21,75,External Position,2,
2018-07-25/sess009/log001,ulg_files/2018-07-25/sess009/log001.ulg,usable,334698,28348946,183068560,154.719614,1548,21,77,External Position,1,
2018-07-25/sess010/log001,ulg_files/2018-07-25/sess010/log001.ulg,usable,384452,47316099,224456089,177.13999,1772,21,75,Normal,0,
2018-07-25/sess011/log001,ulg_files/2018-07-25/sess011/log001.ulg,usable,512945,37293760,282580974,245.287214,2453,21,74,External Position,2,
2018-07-__/sess005/log001,ulg_files/2018-07-__/sess005/log001.ulg,usable,697140,41852690,63544023,21.691333,217,20,77,Uncategorized,0,
2018-07-__/sess005/log003,ulg_files/2018-07-__/sess005/log003.ulg,usable,856178,79700487,106829842,27.129355,272,20,77,Uncategorized,0,
2018-07-__/sess005/log004,ulg_files/2018-07-__/sess005/log004.ulg,usable,967446,109520272,140470423,30.950151,310,20,77,Uncategorized,0,
2018-07-__/sess005/log005,ulg_files/2018-07-__/sess005/log005.ulg,usable,749621,144613261,168530422,23.917161,240,20,77,Uncategorized,0,
2018-07-__/sess006/log001,ulg_files/2018-07-__/sess006/log001.ulg,usable,1323401,167552678,206947466,39.394788,394,21,72,External Position,1,
2018-07-__/sess007/log001,ulg_files/2018-07-__/sess007/log001.ulg,usable,1450112,45629698,87884034,42.254336,423,21,73,External Position,1,
2018-07-__/sess008/log001,ulg_files/2018-07-__/sess008/log001.ulg,usable,3446207,100189751,197597825,97.408074,975,21,73,External Position,1,
2018-07-__/sess009/log001,ulg_files/2018-07-__/sess009/log001.ulg,usable,1482168,61386313,120536870,59.150557,592,21,73,External Position,1,
2018-07-__/sess010/log001,ulg_files/2018-07-__/sess010/log001.ulg,usable,4680400,96978251,227231670,130.253419,1303,21,73,External Position,1,
2018-07-__/sess011/log001,ulg_files/2018-07-__/sess011/log001.ulg,usable,4849707,442774740,580531545,137.756805,1378,21,73,Normal,0,
2018-07-__/sess012/log001,ulg_files/2018-07-__/sess012/log001.ulg,usable,1840127,62912036,116075041,53.163005,532,21,73,Normal,0,
2018-07-__/sess013/log001,ulg_files/2018-07-__/sess013/log001.ulg,usable,3381841,452935114,548720479,95.785365,958,21,74,Normal,0,
2018-07-__/sess013/log002,ulg_files/2018-07-__/sess013/log002.ulg,usable,1165059,564997127,601865262,36.868135,369,21,72,Normal,0,
2018-07-__/sess013/log003,ulg_files/2018-07-__/sess013/log003.ulg,usable,6063496,713437609,873060439,159.62283,1597,21,74,Normal,0,
2018-07-__/sess014/log003,ulg_files/2018-07-__/sess014/log003.ulg,usable,1782042,227420760,277125038,49.704278,498,21,74,Normal,0,
2018-07-__/sess015/log002,ulg_files/2018-07-__/sess015/log002.ulg,usable,1055939,140518278,173384025,32.865747,329,21,74,Normal,0,
2018-07-__/sess015/log005,ulg_files/2018-07-__/sess015/log005.ulg,usable,2740482,238286045,314123404,75.837359,759,21,74,Normal,0,
2018-08-19/sess071/log001,ulg_files/2018-08-19/sess071/log001.ulg,usable,372223,37019449,212286844,175.267395,1753,22,76,External Position,1,
2018-08-19/sess072/log001,ulg_files/2018-08-19/sess072/log001.ulg,usable,309103,49034552,188239275,139.204723,1393,22,75,External Position,1,
2018-08-19/sess073/log001,ulg_files/2018-08-19/sess073/log001.ulg,usable,243413,56065123,161810077,105.744954,1058,22,70,Normal,0,
2018-08-19/sess076/log001,ulg_files/2018-08-19/sess076/log001.ulg,usable,273663,46048056,167792885,121.744829,1218,22,76,External Position,1,
2018-08-19/sess078/log001,ulg_files/2018-08-19/sess078/log001.ulg,usable,309304,53063089,191230520,138.167431,1382,22,76,External Position,1,
2018-08-21/sess003/log003,ulg_files/2018-08-21/sess003/log003.ulg,usable,372623,1060526317,1233755753,173.229436,1733,22,71,Normal,0,
2018-08-21/sess004/log002,ulg_files/2018-08-21/sess004/log002.ulg,usable,429698,219814805,425089478,205.274673,2053,22,72,Normal,0,
2018-08-21/sess005/log001,ulg_files/2018-08-21/sess005/log001.ulg,usable,254249,75089889,184242408,109.152519,1092,22,70,Normal,0,
2018-08-21/sess005/log003,ulg_files/2018-08-21/sess005/log003.ulg,usable,338429,276157226,431606064,155.448838,1555,22,72,Normal,0,
2018-08-26-29/sess002/log001,ulg_files/2018-08-26-29/sess002/log001.ulg,usable,253535,135136310,258179516,123.043206,1231,21,72,Normal,0,
2018-08-26-29/sess003/log002,ulg_files/2018-08-26-29/sess003/log002.ulg,usable,367772,1011748026,1183858742,172.110716,1722,22,70,Normal,0,
2018-08-26-29/sess004/log001,ulg_files/2018-08-26-29/sess004/log001.ulg,usable,348135,107101580,268209130,161.10755,1612,22,70,Normal,0,
2018-08-26-29/sess005/log001,ulg_files/2018-08-26-29/sess005/log001.ulg,usable,261533,115083894,228121420,113.037526,1131,22,71,Normal,0,
2018-08-26-29/sess006/log002,ulg_files/2018-08-26-29/sess006/log002.ulg,usable,307306,572107144,710166415,138.059271,1381,22,71,Normal,0,
2018-08-26-29/sess012/log002,ulg_files/2018-08-26-29/sess012/log002.ulg,usable,284487,106600739,229754494,123.153755,1232,22,72,Normal,0,
2018-08-31-09.01/2016-02-11/19_33_10,ulg_files/2018-08-31-09.01/2016-02-11/19_33_10.ulg,usable,3819750,373255695,489890659,116.634964,1167,22,83,External Position,1,
2018-08-31-09.01/2016-02-11/19_37_50,ulg_files/2018-08-31-09.01/2016-02-11/19_37_50.ulg,usable,2240534,863430536,932950599,69.520063,696,22,81,External Position,1,
2018-08-31-09.01/2016-02-11/19_39_21,ulg_files/2018-08-31-09.01/2016-02-11/19_39_21.ulg,usable,3994552,215444940,315765661,100.320721,1004,22,107,External Position,1,
2018-08-31-09.01/2016-02-11/19_42_51,ulg_files/2018-08-31-09.01/2016-02-11/19_42_51.ulg,usable,2875485,425904123,499990720,74.086597,741,22,105,External Position,1,
2018-08-31-09.01/2016-02-11/19_43_10,ulg_files/2018-08-31-09.01/2016-02-11/19_43_10.ulg,usable,1530580,144667654,192295494,47.62784,477,22,80,External Position,1,
2018-08-31-09.01/2016-02-11/19_46_53,ulg_files/2018-08-31-09.01/2016-02-11/19_46_53.ulg,usable,2413884,55615823,116723301,61.107478,612,22,105,External Position,1,
2018-08-31-09.01/2016-02-11/19_49_04,ulg_files/2018-08-31-09.01/2016-02-11/19_49_04.ulg,usable,3341181,44788561,129310327,84.521766,846,22,94,Normal,0,
2018-08-31-09.01/2016-02-11/19_55_58,ulg_files/2018-08-31-09.01/2016-02-11/19_55_58.ulg,usable,2993311,119421180,196153862,76.732682,768,22,93,Normal,0,
2018-08-31-09.01/2018-08-31/14_23_58,ulg_files/2018-08-31-09.01/2018-08-31/14_23_58.ulg,usable,2127859,36881541,99785894,62.904353,630,22,75,Normal,0,
2018-08-31-09.01/part2/2018-09-01/19_41_50,ulg_files/2018-08-31-09.01/part2/2018-09-01/19_41_50.ulg,usable,3209390,179503656,258303490,78.799834,788,22,94,Normal,0,
2018-08-31-09.01/part2/2018-09-01/19_43_56,ulg_files/2018-08-31-09.01/part2/2018-09-01/19_43_56.ulg,usable,3602948,32379249,120819891,88.440642,885,22,99,External Position,2,
2018-08-31-09.01/part2/2018-09-01/19_46_14,ulg_files/2018-08-31-09.01/part2/2018-09-01/19_46_14.ulg,usable,3670307,39293480,128387730,89.09425,891,22,93,Normal,0,
2018-08-31-09.01/part2/2018-09-01/19_48_12,ulg_files/2018-08-31-09.01/part2/2018-09-01/19_48_12.ulg,usable,1036301,157232184,183857311,26.625127,267,22,92,Normal,0,
2018-08-31-09.01/part2/2018-09-01/19_49_31,ulg_files/2018-08-31-09.01/part2/2018-09-01/19_49_31.ulg,usable,2793948,26344048,98552282,72.208234,723,22,106,External Position,1,
2018-08-31-09.01/part2/2018-09-01/19_51_23,ulg_files/2018-08-31-09.01/part2/2018-09-01/19_51_23.ulg,usable,1807025,21732720,67235199,45.502479,456,22,103,External Position,1,
2018-08-31-09.01/sess003/log002,ulg_files/2018-08-31-09.01/sess003/log002.ulg,usable,4378285,378540865,507507200,128.966335,1290,22,75,Normal,0,
2018-09-03/2016-02-11/19_35_56,ulg_files/2018-09-03/2016-02-11/19_35_56.ulg,usable,1113953,583159351,608812795,25.653444,257,22,97,External Position,1,
2018-09-03/2016-02-11/19_36_31,ulg_files/2018-09-03/2016-02-11/19_36_31.ulg,usable,1206561,617196333,645074858,27.878525,279,22,100,Uncategorized,0,
2018-09-03/2016-02-11/19_36_59,ulg_files/2018-09-03/2016-02-11/19_36_59.ulg,usable,2682325,645291148,708810059,63.518911,636,22,105,External Position,1,
2018-09-03/2018-09-03/13_13_56,ulg_files/2018-09-03/2018-09-03/13_13_56.ulg,usable,2915267,808635297,879939484,71.304187,714,22,105,Normal,0,
2018-09-03/2018-09-03/13_17_32,ulg_files/2018-09-03/2018-09-03/13_17_32.ulg,usable,5806061,61543009,205584059,144.04105,1441,22,98,External Position,1,
2018-09-03/2018-09-03/13_22_41,ulg_files/2018-09-03/2018-09-03/13_22_41.ulg,usable,6851395,56019269,226224488,170.205219,1703,22,98,External Position,1,
2018-09-03/2018-09-03/13_31_17,ulg_files/2018-09-03/2018-09-03/13_31_17.ulg,usable,4713609,263017642,378700148,115.682506,1157,22,94,Normal,0,
2018-09-03/2018-09-03/13_46_06,ulg_files/2018-09-03/2018-09-03/13_46_06.ulg,usable,3300343,101842126,201776491,99.934365,1000,22,74,Normal,0,
2018-09-03/2018-09-03/13_52_01,ulg_files/2018-09-03/2018-09-03/13_52_01.ulg,usable,2107931,47608273,109961114,62.352841,624,22,78,Normal,0,
2018-09-03/2018-09-03/13_56_47,ulg_files/2018-09-03/2018-09-03/13_56_47.ulg,usable,1515862,92184117,136979698,44.795581,448,22,75,Normal,0,
2018-09-03/2018-09-03/14_00_53,ulg_files/2018-09-03/2018-09-03/14_00_53.ulg,usable,2897685,85178783,171364132,86.185349,862,22,84,Normal,0,
2018-09-03/2018-09-03/14_09_02,ulg_files/2018-09-03/2018-09-03/14_09_02.ulg,usable,7037428,294192225,505826858,211.634633,2117,22,84,External Position,1,
2018-09-03/2018-09-03/14_14_46,ulg_files/2018-09-03/2018-09-03/14_14_46.ulg,usable,2259340,53540327,119919475,66.379148,664,22,84,External Position,1,
2018-09-03/2018-09-03/14_17_16,ulg_files/2018-09-03/2018-09-03/14_17_16.ulg,usable,2634486,60255197,137879133,77.623936,777,22,84,Normal,0,
2018-09-03/2018-09-03/14_21_00,ulg_files/2018-09-03/2018-09-03/14_21_00.ulg,usable,1213918,63340501,92516804,29.176303,292,22,98,External Position,1,
2018-09-03/2018-09-03/14_22_52,ulg_files/2018-09-03/2018-09-03/14_22_52.ulg,usable,3216486,39425055,118559292,79.134237,792,22,93,Normal,0,
2018-09-03/2018-09-03/14_26_07,ulg_files/2018-09-03/2018-09-03/14_26_07.ulg,usable,2678801,88519191,154003420,65.484229,655,22,105,External Position,1,
2018-09-05/14_21_31,ulg_files/2018-09-05/14_21_31.ulg,usable,4416952,3147799916,3257345999,109.546083,1096,21,97,External Position,1,
2018-09-05/17_39_27,ulg_files/2018-09-05/17_39_27.ulg,usable,1577642,74227254,108497403,34.270149,343,21,92,Uncategorized,0,
2018-09-05/17_41_11,ulg_files/2018-09-05/17_41_11.ulg,usable,6756796,178759021,328943697,150.184676,1502,21,92,Uncategorized,0,
2018-09-05/17_49_30,ulg_files/2018-09-05/17_49_30.ulg,usable,1217045,132066898,158516086,26.449188,265,21,92,Uncategorized,0,
2018-09-05/18_24_19,ulg_files/2018-09-05/18_24_19.ulg,usable,1428077,1030019180,1060381329,30.362149,304,21,92,Uncategorized,0,
2018-09-05/18_37_59,ulg_files/2018-09-05/18_37_59.ulg,usable,5542589,45564519,174161173,128.596654,1286,21,96,Uncategorized,0,
2018-09-05/19_51_56,ulg_files/2018-09-05/19_51_56.ulg,usable,2513540,4293901373,4347544084,53.642711,537,21,89,Uncategorized,0,
2018-09-05/2016-02-11/19_31_37,ulg_files/2018-09-05/2016-02-11/19_31_37.ulg,usable,2695530,276905192,344096395,67.191203,672,21,91,Normal,0,
2018-09-05/2016-02-11/19_34_40,ulg_files/2018-09-05/2016-02-11/19_34_40.ulg,usable,1918750,68696156,115858884,47.162728,472,21,99,External Position,1,
2018-09-05/2016-02-11/19_41_03,ulg_files/2018-09-05/2016-02-11/19_41_03.ulg,usable,5999017,74927843,223742487,148.814644,1489,22,101,External Position,1,
2018-09-05/2016-02-11/21_32_08,ulg_files/2018-09-05/2016-02-11/21_32_08.ulg,usable,991540,148024131,170333853,22.309722,224,18,80,Uncategorized,0,
2018-09-05/20_18_22,ulg_files/2018-09-05/20_18_22.ulg,usable,1460598,715014675,749644861,34.630186,347,20,88,Uncategorized,0,
2018-09-06/13_26_57,ulg_files/2018-09-06/13_26_57.ulg,usable,2185579,95217177,148269898,53.052721,531,22,101,External Position,1,
2018-09-06/13_32_57,ulg_files/2018-09-06/13_32_57.ulg,usable,5990953,260541859,408400051,147.858192,1479,22,101,External Position,1,
2018-09-06/13_41_28,ulg_files/2018-09-06/13_41_28.ulg,usable,5423765,63567158,226835442,163.268284,1633,22,84,External Position,1,
2018-09-06/13_45_46,ulg_files/2018-09-06/13_45_46.ulg,usable,2090738,48183162,110451441,62.268279,623,22,82,Normal,0,
2018-09-06/13_48_45,ulg_files/2018-09-06/13_48_45.ulg,usable,3143291,74272373,168274485,94.002112,941,22,82,Normal,0,
2018-09-06/13_56_05,ulg_files/2018-09-06/13_56_05.ulg,usable,4484157,106195430,216439278,110.243848,1103,22,105,External Position,1,
2018-09-06/14_03_07,ulg_files/2018-09-06/14_03_07.ulg,usable,2495191,210737397,271605279,60.867882,609,22,105,Altitude|External Position,2,
2018-09-06/14_06_21,ulg_files/2018-09-06/14_06_21.ulg,usable,1648557,26246373,66818021,40.571648,406,22,106,Uncategorized,0,
2018-09-06/14_08_52,ulg_files/2018-09-06/14_08_52.ulg,usable,3474669,87335318,172611861,85.276543,853,22,101,External Position,1,
2018-09-06/14_16_08,ulg_files/2018-09-06/14_16_08.ulg,usable,1618179,57115871,96413883,39.298012,393,22,98,Normal,0,
2018-09-06/14_18_57,ulg_files/2018-09-06/14_18_57.ulg,usable,1432103,57246291,91713447,34.467156,345,22,99,External Position,1,
