log_key,annotation_index,class,note,annotated_at,range_index,signal,start_us,end_us
2018-05-30/18_39_02,0,Uncategorized,,2025-01-30T00:21:34.151248,,,,
2018-05-31/14_33_03,0,Uncategorized,,2025-01-30T00:22:19.559577,,,,
22_00_49,0,Altitude,,2025-02-02T22:58:46.451422,0,Roll Rate,142227900,144184539
22_00_49,1,Mechanical,crash,2025-02-02T23:03:54.852376,0,Battery,141276020,143814367
23_36_13,0,Normal,,2025-02-02T22:59:30.262675,,,,
log_135_2022-6-15-11-24-32,0,Uncategorized,crash,2025-02-02T23:02:37.128592,,,,
log_13_2021-10-3-16-05-24,0,Altitude,,2025-02-02T23:08:14.020070,0,Actuator Outputs,963319024,968415109
log_13_2021-10-3-16-05-24,0,Altitude,,2025-02-02T23:08:14.020070,1,Actuator Thrust,962948404,968507762
log_1_2021-9-30-00-28-30,0,Uncategorized,,2025-02-02T23:24:56.160501,,,,
log_2_2021-9-30-00-28-52,0,Uncategorized,check original log again,2025-02-02T23:28:15.503086,,,,
log_54_2022-4-19-18-17-42,0,External Position,,2025-02-02T23:33:25.981542,0,Position.Y,196775964,202899511
log_7_2020-11-20-14-31-06,0,Uncategorized,,2025-02-02T23:34:37.155802,,,,
2018-05-31/15_14_55,0,Uncategorized,,2025-02-02T23:40:04.192853,,,,
2018-05-31/15_27_43,0,Uncategorized,,2025-02-02T23:40:54.800622,,,,
2018-05-31/15_58_30,0,Normal,,2025-02-13T23:49:27.160401,,,,
2018-05-31/16_07_48,0,External Position,,2025-02-13T23:57:46.812134,0,Position.Y,879810100,908625713
2018-06-02/14_23_25,0,Normal,,2025-02-13T23:58:12.067564,,,,
2018-06-02/14_25_48,0,Normal,,2025-02-14T00:00:54.027880,,,,
2018-06-02/14_29_29,0,Altitude,,2025-02-14T00:03:00.307276,0,Position.Z,869505903,876251653
2018-06-02/14_42_50,0,External Position,,2025-02-14T00:05:55.535470,0,Position.Y,1631819772,1634023206
2018-06-02/14_56_43,0,External Position,,2025-02-14T00:07:12.672488,0,Position.Y,2454027640,2455776687
2018-06-02/14_56_43,0,External Position,,2025-02-14T00:07:12.672488,1,Position.Y,2459274767,2460499102
2018-06-02/14_56_43,0,External Position,,2025-02-14T00:07:12.672488,2,Position.Y,2479563669,2482886839
2018-06-02/15_24_48,0,Uncategorized,,2025-02-14T00:07:25.957532,,,,
2018-06-02/15_27_56,0,Uncategorized,,2025-02-14T00:07:34.958894,,,,
2018-06-02/15_37_07,0,Uncategorized,,2025-02-14T00:07:51.313383,,,,
2018-06-02/15_51_56,0,Uncategorized,,2025-02-14T00:08:24.324893,,,,
2018-06-02/16_13_18,0,Uncategorized,,2025-02-14T00:08:36.856805,,,,
2018-06-04/18_01_59,0,External Position,,2025-02-14T00:10:27.845730,0,Position.Y,426817499,428650957
2018-06-04/18_01_59,0,External Position,,2025-02-14T00:10:27.845730,1,Position.Y,418527090,421317130
2018-06-04/18_01_59,0,External Position,,2025-02-14T00:10:27.845730,2,Position.X,426976931,428890103
2018-06-04/18_05_54,0,Mechanical,,2025-02-14T00:12:30.785371,0,Battery,643814376,646710745
2018-06-04/18_15_21,0,Normal,,2025-02-14T00:15:45.432584,,,,
2018-06-04/18_17_58,0,Mechanical,,2025-02-14T00:18:17.089534,0,Battery,1363812332,1366189792
2018-06-04/18_21_53,0,Altitude,,2025-02-14T00:21:29.989662,0,Position.Z,1633510171,1636903056
2018-06-04/18_33_02,0,Normal,,2025-03-01T09:39:29.133876,,,,
2018-06-04/18_25_07,0,Normal,,2025-03-01T09:39:50.861602,,,,
2018-06-04/18_36_56,0,Normal,,2025-03-01T09:40:35.236507,,,,
2018-06-04/18_48_21,0,Normal,,2025-03-01T09:41:15.316263,,,,
2018-06-04/19_00_07,0,External Position,,2025-03-01T09:43:10.563147,0,Position.Y,148541166,153813436
2018-06-04/19_00_07,0,External Position,,2025-03-01T09:43:10.563147,1,Position.Y,159378609,160843128
2018-06-04/19_02_08,0,Normal,,2025-03-01T09:44:38.566795,,,,
2018-06-04/19_09_21,0,Normal,,2025-03-01T09:46:04.846395,,,,
2018-06-04/19_17_29,0,Normal,,2025-03-01T09:46:54.338970,,,,
2018-06-12/18_52_10,0,Normal,,2025-03-01T09:48:07.324016,,,,
2018-06-12/19_05_12,0,Uncategorized,,2025-03-01T09:49:34.314314,,,,
2018-06-12/19_06_44,0,Uncategorized,,2025-03-01T09:50:32.321106,,,,
2018-06-12/19_24_37,0,Normal,,2025-03-01T09:56:37.254827,,,,
2018-06-12/19_37_35,0,Uncategorized,,2025-03-01T10:03:26.262963,,,,
2018-06-12/19_38_14,0,External Position,,2025-03-01T10:07:47.331700,0,Position.Y,1172454692,1177972404
2018-06-12/19_44_57,0,Normal,,2025-03-01T10:10:36.894864,,,,
2018-06-12/19_55_27,0,External Position,,2025-03-01T10:12:37.302027,0,Position.X,182615011,186145399
2018-06-12/19_55_27,0,External Position,,2025-03-01T10:12:37.302027,1,Position.X,187452954,189806546
2018-06-12/19_58_56,0,Uncategorized,,2025-03-01T10:13:41.775362,,,,
2018-06-14/log003,0,Uncategorized,,2025-03-01T10:14:07.005422,,,,
2018-07-03/18_57_00,0,Global Position,,2025-03-01T10:23:38.775750,0,Position.X,66617756,68152780
2018-07-03/18_57_00,0,Global Position,,2025-03-01T10:23:38.775750,1,Position.X,69322321,70857346
2018-07-03/18_57_00,0,Global Position,,2025-03-01T10:23:38.775750,2,Position.X,72538564,82041093
2018-07-03/18_58_45,0,Normal,,2025-03-01T10:25:04.558408,,,,
2018-07-03/19_12_45,0,Normal,,2025-03-01T10:27:03.242230,,,,
2018-07-03/19_16_20,0,Normal,,2025-03-01T10:28:12.235670,,,,
2018-07-04/19_31_44,0,Normal,,2025-03-01T10:32:33.454645,,,,
2018-07-04/19_38_27,0,Normal,,2025-03-01T10:34:42.825600,,,,
2018-07-04/19_39_24,0,External Position,,2025-03-01T10:54:29.621643,0,Position.X,196348689,199877693
2018-07-09/18_55_04,0,Normal,,2025-03-01T10:57:52.999265,,,,
2018-07-09/18_56_32,0,Normal,,2025-03-01T11:00:47.673681,,,,
2018-07-09/19_05_45,0,External Position,,2025-03-01T11:07:36.653352,0,Position.Y,126802857,146798729
2018-07-09/19_05_45,0,External Position,,2025-03-01T11:07:36.653352,1,Position.Y,151062564,166500555
2018-07-09/19_05_45,0,External Position,,2025-03-01T11:07:36.653352,2,Position.X,165177298,173851975
2018-07-09/19_09_44,0,External Position,,2025-03-01T11:11:20.657644,0,Position.Y,39307927,93258331
2018-07-09/19_13_16,0,External Position,,2025-03-01T11:12:05.213662,0,Position.X,107167256,144021371
2018-07-09/19_16_25,0,External Position,,2025-03-01T11:12:29.977051,0,Position.X,105796874,134250245
2018-07-09/19_20_08,0,External Position,,2025-03-01T11:12:57.132808,0,Position.Y,206499905,216687283
2018-07-09/19_20_08,0,External Position,,2025-03-01T11:12:57.132808,1,Position.X,217230601,235703704
2018-07-09/19_29_38,0,External Position,,2025-03-01T11:13:21.459337,0,Position.X,470169034,477840250
2018-07-09/19_29_38,0,External Position,,2025-03-01T11:13:21.459337,1,Position.Y,468795085,478069243
2018-07-09/19_32_44,0,Normal,,2025-03-01T11:13:45.901859,,,,
2018-07-09/19_36_34,0,Normal,,2025-03-01T11:14:31.743334,,,,
2018-07-09/19_41_46,0,External Position,,2025-03-01T11:14:55.256358,0,Position.X,217063059,233311071
2018-07-09/19_44_18,0,External Position,,2025-03-01T11:16:04.992194,0,Position.X,168342825,191849410
2018-07-09/19_50_38,0,Normal,,2025-03-01T11:16:23.540490,,,,
2018-07-09/19_52_37,0,External Position,,2025-03-01T11:16:56.610791,0,Position.Y,103207810,125376400
2018-07-09/19_56_32,0,Normal,,2025-03-01T11:17:34.952950,,,,
2018-07-09/20_03_46,0,Normal,,2025-03-01T11:17:46.594507,,,,
2018-07-23/sess006/log001,0,Uncategorized,,2025-03-01T11:17:58.293024,,,,
2018-07-23/sess007/log001,0,Uncategorized,,2025-03-01T11:18:26.357775,,,,
2018-07-23/sess008/log001,0,Uncategorized,,2025-03-01T11:18:35.747071,,,,
2018-07-23/sess009/log001,0,Uncategorized,,2025-03-01T11:18:50.838558,,,,
2018-07-23/sess009/log002,0,External Position,,2025-03-01T11:20:06.481121,0,Position.X,634639301,691928687
2018-07-23/sess010/log001,0,External Position,,2025-03-01T11:20:42.005515,0,Position.X,53668940,107283943
2018-07-23/sess011/log001,0,External Position,,2025-03-01T11:21:15.479175,0,Position.X,32600581,143326347
2018-07-23/sess012/log001,0,External Position,,2025-03-01T11:21:52.783755,0,Position.X,35395280,206151586
2018-07-25/sess004/log001,0,Uncategorized,,2025-03-01T11:22:07.447273,,,,
2018-07-25/sess006/log001,0,External Position,,2025-03-01T11:23:49.303164,,,,
2018-07-25/sess007/log002,0,External Position,,2025-03-01T11:24:06.683816,0,Position.X,227685173,319223913
2018-07-25/sess008/log001,0,External Position,,2025-03-01T11:24:44.614899,0,Position.X,62135477,82192615
2018-07-25/sess008/log001,0,External Position,,2025-03-01T11:24:44.614899,1,Position.Y,62787739,97520832
2018-07-25/sess009/log001,0,External Position,,2025-03-01T11:25:12.889437,0,Position.X,65252968,176924412
2018-07-25/sess010/log001,0,Normal,,2025-03-01T11:26:08.565617,,,,
2018-07-25/sess011/log001,0,External Position,,2025-03-01T11:27:05.872186,0,Position.X,131403873,151072632
2018-07-25/sess011/log001,0,External Position,,2025-03-01T11:27:05.872186,1,Position.X,222805773,271013505
2018-07-__/sess005/log001,0,Uncategorized,,2025-03-01T11:29:06.959944,,,,
2018-07-__/sess005/log003,0,Uncategorized,,2025-03-01T11:29:31.675989,,,,
2018-07-__/sess005/log004,0,Uncategorized,,2025-03-01T11:29:38.107180,,,,
2018-07-__/sess005/log005,0,Uncategorized,,2025-03-01T11:29:43.267187,,,,
2018-07-__/sess006/log001,0,External Position,,2025-03-01T11:30:16.659710,0,Position.X,180393562,204748502
2018-07-__/sess007/log001,0,External Position,,2025-03-01T11:30:52.607159,0,Position.X,59181929,82321315
2018-07-__/sess008/log001,0,External Position,,2025-03-01T11:31:01.906575,0,Position.X,135590819,189642784
2018-07-__/sess009/log001,0,External Position,,2025-03-01T11:31:45.375649,0,Position.X,81235740,116782143
2018-07-__/sess010/log001,0,External Position,,2025-03-01T11:32:01.554632,0,Position.X,148325488,219300844
2018-07-__/sess011/log001,0,Normal,,2025-03-01T11:32:46.450518,,,,
2018-07-__/sess012/log001,0,Normal,,2025-03-01T11:33:24.585831,,,,
2018-07-__/sess013/log001,0,Normal,,2025-03-01T11:34:13.964771,,,,
2018-07-__/sess013/log002,0,Normal,,2025-03-01T11:34:36.833092,,,,
2018-07-__/sess013/log003,0,Normal,,2025-03-01T11:35:16.448163,,,,
2018-07-__/sess014/log003,0,Normal,,2025-03-01T11:36:00.540207,,,,
2018-07-__/sess015/log002,0,Normal,,2025-03-01T11:36:51.704411,,,,
2018-07-__/sess015/log005,0,Normal,,2025-03-01T11:37:18.196224,,,,
2018-08-19/sess071/log001,0,External Position,,2025-03-01T11:37:46.974152,0,Position.X,116206250,207415436
2018-08-19/sess072/log001,0,External Position,,2025-03-01T11:38:53.599754,0,Position.Y,162596739,183751801
2018-08-19/sess073/log001,0,Normal,,2025-03-01T11:39:16.331518,,,,
2018-08-19/sess076/log001,0,External Position,,2025-03-01T11:39:47.019379,0,Position.X,90187302,117171802
2018-08-19/sess078/log001,0,External Position,,2025-03-01T11:40:19.698265,0,Position.X,145626900,187199948
2018-08-21/sess003/log003,0,Normal,,2025-03-01T11:42:14.194993,,,,
2018-08-21/sess004/log002,0,Normal,,2025-03-01T11:42:28.586696,,,,
2018-08-21/sess005/log001,0,Normal,,2025-03-01T11:43:00.304414,,,,
2018-08-21/sess005/log003,0,Normal,,2025-03-01T11:43:42.935545,,,,
2018-08-26-29/sess002/log001,0,Normal,,2025-03-01T11:45:09.261596,,,,
2018-08-26-29/sess003/log002,0,Normal,,2025-03-01T11:45:33.993378,,,,
2018-08-26-29/sess004/log001,0,Normal,,2025-03-01T11:46:20.940423,,,,
2018-08-26-29/sess005/log001,0,Normal,,2025-03-01T11:46:59.428199,,,,
2018-08-26-29/sess006/log002,0,Normal,,2025-03-01T11:47:09.712195,,,,
2018-08-26-29/sess012/log002,0,Normal,,2025-03-01T11:47:38.083045,,,,
2018-08-31-09.01/2016-02-11/19_33_10,0,External Position,,2025-03-01T11:48:20.036238,0,Position.Y,381839698,483773246
2018-08-31-09.01/2016-02-11/19_37_50,0,External Position,,2025-03-01T11:48:58.767970,0,Position.Y,870908486,926814958
2018-08-31-09.01/2016-02-11/19_39_21,0,External Position,,2025-03-01T11:49:47.648536,0,Position.Y,240531253,306154200
2018-08-31-09.01/2016-02-11/19_42_51,0,External Position,,2025-03-01T11:50:02.564310,0,Position.X,438230974,491784296
2018-08-31-09.01/2016-02-11/19_43_10,0,External Position,,2025-03-01T11:50:13.924989,0,Position.X,153409858,189382751
2018-08-31-09.01/2016-02-11/19_46_53,0,External Position,,2025-03-01T11:50:43.232077,0,Position.X,89605163,114054491
2018-08-31-09.01/2016-02-11/19_49_04,0,Normal,,2025-03-01T11:51:11.799684,,,,
2018-08-31-09.01/2016-02-11/19_55_58,0,Normal,,2025-03-01T11:51:29.954958,,,,
2018-08-31-09.01/2018-08-31/14_23_58,0,Normal,,2025-03-01T11:52:13.016837,,,,
2018-08-31-09.01/part2/2018-09-01/19_41_50,0,Normal,,2025-03-01T11:52:32.398112,,,,
2018-08-31-09.01/part2/2018-09-01/19_43_56,0,External Position,,2025-03-01T11:53:15.274754,0,Position.X,53290842,63762135
2018-08-31-09.01/part2/2018-09-01/19_43_56,0,External Position,,2025-03-01T11:53:15.274754,1,Position.X,76024574,88838133
2018-08-31-09.01/part2/2018-09-01/19_46_14,0,Normal,,2025-03-01T11:53:42.324553,,,,
2018-08-31-09.01/part2/2018-09-01/19_48_12,0,Normal,,2025-03-01T11:54:15.538612,,,,
2018-08-31-09.01/part2/2018-09-01/19_49_31,0,External Position,,2025-03-01T11:54:27.956868,0,Position.X,54317619,96563844
2018-08-31-09.01/part2/2018-09-01/19_51_23,0,External Position,,2025-03-01T11:54:42.484931,0,Position.X,28412334,65990920
2018-08-31-09.01/sess003/log002,0,Normal,,2025-03-01T11:55:03.983060,,,,
2018-09-03/2016-02-11/19_35_56,0,External Position,,2025-03-01T11:55:21.582628,0,Position.Y,586418197,608023651
2018-09-03/2016-02-11/19_36_31,0,Uncategorized,,2025-03-01T11:56:11.203311,,,,
2018-09-03/2016-02-11/19_36_59,0,External Position,,2025-03-01T11:56:34.017279,0,Position.X,656234705,704526070
2018-09-03/2018-09-03/13_13_56,0,Normal,,2025-03-01T11:56:59.162392,,,,
2018-09-03/2018-09-03/13_17_32,0,External Position,,2025-03-01T11:57:12.822655,0,Position.X,174588810,196326186
2018-09-03/2018-09-03/13_22_41,0,External Position,,2025-03-01T11:57:32.870442,0,Position.Y,147710460,157274328
2018-09-03/2018-09-03/13_31_17,0,Normal,,2025-03-01T11:58:02.545609,,,,
2018-09-03/2018-09-03/13_46_06,0,Normal,,2025-03-01T11:58:18.888921,,,,
2018-09-03/2018-09-03/13_52_01,0,Normal,,2025-03-01T11:58:39.596769,,,,
2018-09-03/2018-09-03/13_56_47,0,Normal,,2025-03-01T11:58:57.058468,,,,
2018-09-03/2018-09-03/14_00_53,0,Normal,,2025-03-02T18:32:17.989019,,,,
2018-09-03/2018-09-03/14_09_02,0,External Position,,2025-03-02T21:20:53.346467,0,Position.Y,403730000,414956000
2018-09-03/2018-09-03/14_14_46,0,External Position,,2025-03-02T21:32:21.536029,0,Position.Y,60467000,66842000
2018-09-03/2018-09-03/14_17_16,0,Normal,,2025-03-02T21:37:07.802307,,,,
2018-09-03/2018-09-03/14_21_00,0,External Position,,2025-03-02T21:37:30.004829,0,Position.X,83598000,91754000
2018-09-03/2018-09-03/14_22_52,0,Normal,,2025-03-02T21:37:49.309967,,,,
2018-09-03/2018-09-03/14_26_07,0,External Position,,2025-03-02T21:38:07.412965,0,Position.X,111305000,151753000
2018-09-05/14_21_31,0,External Position,,2025-03-02T21:40:30.308715,0,Position.X,3158745000,3251304000
2018-09-05/17_39_27,0,Uncategorized,,2025-03-02T21:43:18.841613,,,,
2018-09-05/17_41_11,0,Uncategorized,,2025-03-02T21:46:26.722789,,,,
2018-09-05/17_49_30,0,Uncategorized,,2025-03-02T21:46:41.028306,,,,
2018-09-05/18_24_19,0,Uncategorized,,2025-03-02T21:47:08.727756,,,,
2018-09-05/18_37_59,0,Uncategorized,,2025-03-02T21:48:15.849791,,,,
2018-09-05/19_51_56,0,Uncategorized,,2025-03-02T21:48:48.805725,,,,
2018-09-05/2016-02-11/19_31_37,0,Normal,,2025-03-02T21:49:34.907818,,,,
2018-09-05/2016-02-11/19_34_40,0,External Position,,2025-03-02T21:50:06.745187,0,Position.X,83756000,111648000
2018-09-05/2016-02-11/19_41_03,0,External Position,,2025-03-02T21:50:44.027495,0,Position.X,99629000,217235000
2018-09-05/2016-02-11/21_32_08,0,Uncategorized,,2025-03-02T21:50:59.958586,,,,
2018-09-05/20_18_22,0,Uncategorized,,2025-03-02T21:51:26.355931,,,,
2018-09-06/13_26_57,0,External Position,,2025-03-02T21:52:06.646097,0,Position.X,103400000,142942000
2018-09-06/13_32_57,0,External Position,,2025-03-02T21:53:12.782342,0,Position.X,294889000,387511000
2018-09-06/13_41_28,0,External Position,,2025-03-02T21:53:35.293360,0,Position.X,129819000,221886000
2018-09-06/13_45_46,0,Normal,,2025-03-02T21:54:30.096954,,,,
2018-09-06/13_48_45,0,Normal,,2025-03-02T21:55:01.095132,,,,
2018-09-06/13_56_05,0,External Position,,2025-03-02T21:55:28.899612,0,Position.X,120284000,210316000
2018-09-06/14_03_07,0,Altitude,,2025-03-02T22:00:57.631043,0,Position.Z,227719000,230247000
2018-09-06/14_03_07,1,External Position,,2025-03-02T22:01:46.108258,0,Position.X,222469000,270889000
2018-09-06/14_06_21,0,Uncategorized,,2025-03-02T22:03:06.334667,,,,
2018-09-06/14_08_52,0,External Position,,2025-03-02T22:03:41.133599,0,Position.Y,144445000,159473000
2018-09-06/14_16_08,0,Normal,,2025-03-02T22:04:10.545087,,,,
2018-09-06/14_18_57,0,External Position,,2025-03-02T22:04:56.784556,0,Position.Y,78588000,86320000
2018-09-06/14_21_27,0,External Position,,2025-03-02T22:05:12.828537,0,Position.Y,94191000,102791000
2018-09-06/14_23_19,0,External Position,,2025-03-02T22:05:30.099191,0,Position.Y,59115000,88606000
2018-09-06/14_27_29,0,External Position,,2025-03-02T22:06:01.177535,0,Position.X,102121000,138130000
2018-09-06/14_33_25,0,External Position,,2025-03-02T22:06:27.388415,0,Position.Y,123878000,147190000
2018-09-06/14_36_29,0,External Position,,2025-03-02T22:07:01.643846,0,Position.Y,52285000,69819000
2018-09-06/14_38_29,0,External Position,,2025-03-05T22:01:20.001317,0,Position.X,73017000,75605000
2018-09-06/14_47_07,0,External Position,,2025-03-05T22:01:31.795324,0,Position.X,43940000,54383000
2018-09-06/14_53_40,0,Uncategorized,,2025-03-05T22:02:02.259639,,,,
2018-09-06/14_54_24,0,External Position,,2025-03-05T22:02:26.899169,0,Position.X,68189000,75579000
2018-09-06/15_00_19,0,External Position,,2025-03-05T22:03:02.475250,0,Position.X,45940000,113282000
2018-09-06/15_03_26,0,Normal,,2025-03-05T22:06:43.108188,,,,
2018-09-06/2016-02-12/01_02_39,0,Uncategorized,,2025-03-05T22:09:20.420298,,,,
2018-09-07/12_34_09,0,Normal,,2025-03-05T22:10:08.265419,,,,
2018-09-07/12_39_45,0,External Position,,2025-03-05T22:10:19.719503,0,Position.X,198824000,216748000
2018-09-07/12_48_42,0,External Position,,2025-03-05T22:10:29.725303,0,Position.X,178175000,180856000
2018-09-07/12_51_41,0,External Position,,2025-03-05T22:10:48.389352,0,Position.X,142230000,150202000
2018-09-07/12_57_30,0,External Position,,2025-03-05T22:11:15.919701,0,Position.X,50302000,83495000
2018-09-07/12_59_34,0,External Position,,2025-03-05T22:11:49.276560,0,Position.X,60842000,99382000
2018-09-07/13_02_17,0,External Position,,2025-03-05T22:12:35.946350,0,Position.Y,47389000,112158000
2018-09-07/13_04_43,0,Normal,,2025-03-05T22:12:47.674715,,,,
2018-09-07/13_07_23,0,Normal,,2025-03-05T22:13:24.596572,,,,
2018-09-07/13_10_36,0,External Position,,2025-03-05T22:14:03.427555,0,Position.Y,122956000,135942000
2018-09-07/13_20_12,0,External Position,,2025-03-05T22:14:25.052479,0,Position.X,49645000,70023000
2018-09-07/13_23_31,0,External Position,,2025-03-05T22:14:36.025592,0,Position.X,56571000,64647000
2018-09-07/13_26_48,0,External Position,,2025-03-05T22:14:45.737795,0,Position.X,65231000,70919000
2018-09-07/13_29_47,0,External Position,,2025-03-05T22:14:57.506370,0,Position.X,65641000,70724000
2018-09-07/13_39_11,0,External Position,,2025-03-05T22:15:16.280340,0,Position.X,132811000,139734000
2018-09-07/13_39_11,1,External Position,,2025-03-05T22:15:49.879896,0,Position.X,87328000,94412000
2018-09-07/13_52_43,0,External Position,,2025-03-05T22:16:00.716190,0,Position.X,70614000,78768000
2018-09-07/13_58_13,0,Normal,,2025-03-05T22:16:28.658229,,,,
2018-09-07/14_03_01,0,Normal,,2025-03-05T22:16:54.447271,,,,
2018-09-07/14_10_59,0,External Position,,2025-03-05T22:17:07.798994,0,Position.X,92554000,160997000
2018-09-07/14_16_20,0,Normal,,2025-03-05T22:17:34.480283,,,,
2018-09-07/14_19_21,0,Normal,,2025-03-05T22:17:42.497317,,,,
2018-09-07/14_26_54,0,Normal,,2025-03-05T22:18:26.106771,,,,
2018-09-07/14_30_45,0,Normal,,2025-03-05T22:19:18.305726,,,,
2018-09-07/14_43_50,0,Normal,,2025-03-05T22:20:06.685746,,,,
2018-09-08/17_30_27,0,Normal,,2025-03-07T22:41:54.764320,,,,
2018-09-08/17_40_05,0,Normal,,2025-03-07T22:44:33.125567,,,,
2018-09-08/17_41_57,0,Normal,,2025-03-07T22:46:05.588131,,,,
2018-09-08/17_44_37,0,Normal,,2025-03-07T22:46:12.358738,,,,
2018-09-08/17_48_46,0,External Position,,2025-03-07T22:48:00.907163,0,Position.Z,111556000,119952000
2018-09-08/17_20_54,0,External Position,,2025-03-07T22:48:37.064221,0,Position.Z,467478000,485505000
2018-09-08/17_26_26,0,External Position,,2025-03-07T22:49:12.542661,0,Position.Z,56866000,90844000
2018-09-08/17_36_24,0,External Position,,2025-03-07T22:50:00.091648,0,Position.Z,94767000,131858000
2018-09-08/17_50_22,0,Normal,,2025-03-07T22:51:45.781955,,,,
2018-09-08/17_56_44,0,Normal,,2025-03-07T22:52:21.553058,,,,
2018-09-08/17_58_39,0,External Position,,2025-03-07T22:52:32.830600,0,Position.X,71137000,77927000
2018-09-08/18_01_14,0,External Position,,2025-03-07T22:53:00.508480,0,Position.Z,79519000,89883000
2018-09-08/18_03_08,0,External Position,,2025-03-07T22:53:35.606252,0,Position.Z,53028000,57604000
2018-09-08/18_07_55,0,External Position,,2025-03-07T22:54:06.957285,0,Position.Z,187152000,210131000
2018-09-08/18_11_27,0,Normal,,2025-03-07T22:57:26.196163,,,,
2018-09-08/18_15_39,0,Normal,,2025-03-07T22:58:48.117122,,,,
2018-09-08/18_18_28,0,Normal,,2025-03-07T22:59:37.907114,,,,
2018-09-08/18_21_08,0,Normal,,2025-03-07T23:00:45.392100,,,,
2018-09-08/18_23_15,0,Normal,,2025-03-07T23:02:28.658437,,,,
2018-09-08/18_26_14,0,Normal,,2025-03-07T23:04:37.216015,,,,
2018-09-08/18_29_43,0,Normal,,2025-03-07T23:05:21.567170,,,,
2018-09-08/18_31_20,0,External Position,,2025-03-07T23:06:16.935627,0,Position.X,62328000,69380000
2018-09-08/18_33_06,0,Normal,,2025-03-07T23:07:00.855903,,,,
2018-09-08/18_37_09,0,External Position,,2025-03-07T23:07:26.167817,0,Position.X,61501000,73212000
2018-09-08/18_40_19,0,External Position,,2025-03-07T23:18:38.359336,0,Position.X,91968000,99176000
2018-09-08/18_42_34,0,Normal,,2025-03-07T23:19:46.682465,,,,
2018-09-08/18_46_38,0,Normal,,2025-03-07T23:20:44.758957,,,,
2018-09-08/18_51_39,0,External Position,,2025-03-07T23:20:58.130671,0,Position.X,72056000,81661000
2018-09-08/18_54_01,0,External Position,,2025-03-07T23:21:08.250713,0,Position.X,50787000,57176000
2018-09-08/18_56_26,0,Normal,,2025-03-07T23:22:25.731720,,,,
2018-09-10/07_29_03,0,Normal,,2025-03-07T23:23:45.133137,,,,
2018-09-10/07_33_01,0,External Position,,2025-03-07T23:24:01.344931,0,Position.X,140183000,149058000
2018-09-10/07_36_58,0,External Position,,2025-03-07T23:24:08.804799,0,Position.X,85832000,90529000
2018-09-10/07_41_13,0,Normal,,2025-03-07T23:24:44.660286,,,,
2018-09-10/07_44_54,0,Normal,,2025-03-07T23:25:18.057377,,,,
2018-09-10/07_47_58,0,Normal,,2025-03-07T23:26:06.325399,,,,
2018-09-10/07_52_17,0,Normal,,2025-03-07T23:31:44.421011,,,,
2018-09-10/07_54_58,0,Normal,,2025-03-07T23:32:14.634944,,,,
2018-09-10/07_58_30,0,Normal,,2025-03-07T23:33:24.656941,,,,
2018-09-10/08_02_49,0,External Position,,2025-03-10T22:02:07.378731,0,Position.X,60550000,71485000
