log_key,status,path,rows,positive_rows
2018-06-12/19_05_12,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_05_12.npz,572,0
2018-06-12/19_06_44,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_06_44.npz,893,0
2018-06-12/19_24_37,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_24_37.npz,881,0
2018-06-12/19_31_16,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_31_16.npz,783,0
2018-06-12/19_37_35,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_37_35.npz,262,0
2018-06-12/19_38_14,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_38_14.npz,2085,56
2018-06-12/19_44_57,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_44_57.npz,1720,0
2018-06-12/19_55_27,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_55_27.npz,859,59
2018-06-12/19_58_56,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-12__19_58_56.npz,222,0
2018-06-14/log003,ok,D:\UAV\data\processed\p2\aligned_npz\2018-06-14__log003.npz,260,0
2018-07-03/18_57_00,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-03__18_57_00.npz,488,125
2018-07-03/18_58_45,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-03__18_58_45.npz,1509,0
2018-07-03/19_12_45,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-03__19_12_45.npz,1078,0
2018-07-03/19_16_20,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-03__19_16_20.npz,1317,0
2018-07-04/19_31_44,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-04__19_31_44.npz,1039,0
2018-07-04/19_39_24,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-04__19_39_24.npz,492,36
2018-07-09/18_55_04,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__18_55_04.npz,578,0
2018-07-09/18_56_32,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__18_56_32.npz,1261,0
2018-07-09/19_05_45,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_05_45.npz,958,427
2018-07-09/19_09_44,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_09_44.npz,772,540
2018-07-09/19_13_16,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_13_16.npz,755,369
2018-07-09/19_16_25,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_16_25.npz,528,285
2018-07-09/19_20_08,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_20_08.npz,889,286
2018-07-09/19_29_38,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_29_38.npz,757,93
2018-07-09/19_32_44,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_32_44.npz,1423,0
2018-07-09/19_36_34,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_36_34.npz,381,0
2018-07-09/19_41_46,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_41_46.npz,828,162
2018-07-09/19_44_18,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_44_18.npz,1844,235
2018-07-09/19_50_38,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_50_38.npz,531,0
2018-07-09/19_52_37,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_52_37.npz,915,221
2018-07-09/19_56_32,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__19_56_32.npz,2772,0
2018-07-09/20_03_46,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-09__20_03_46.npz,1429,0
2018-07-23/sess006/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-23__sess006__log001.npz,110,0
2018-07-23/sess007/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-23__sess007__log001.npz,110,0
2018-07-23/sess008/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-23__sess008__log001.npz,108,0
2018-07-23/sess009/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-23__sess009__log001.npz,108,0
2018-07-23/sess009/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-23__sess009__log002.npz,1073,573
2018-07-23/sess010/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-23__sess010__log001.npz,663,536
2018-07-23/sess011/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-23__sess011__log001.npz,1288,1107
2018-07-23/sess012/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-23__sess012__log001.npz,2080,1708
2018-07-25/sess004/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-25__sess004__log001.npz,110,0
2018-07-25/sess006/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-25__sess006__log001.npz,1412,0
2018-07-25/sess007/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-25__sess007__log002.npz,2223,915
2018-07-25/sess008/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-25__sess008__log001.npz,1071,354
2018-07-25/sess009/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-25__sess009__log001.npz,1548,1116
2018-07-25/sess010/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-25__sess010__log001.npz,1772,0
2018-07-25/sess011/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-25__sess011__log001.npz,2453,678
2018-07-__/sess005/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess005__log001.npz,217,0
2018-07-__/sess005/log003,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess005__log003.npz,272,0
2018-07-__/sess005/log004,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess005__log004.npz,310,0
2018-07-__/sess005/log005,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess005__log005.npz,240,0
2018-07-__/sess006/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess006__log001.npz,394,243
2018-07-__/sess007/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess007__log001.npz,423,231
2018-07-__/sess008/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess008__log001.npz,975,540
2018-07-__/sess009/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess009__log001.npz,592,355
2018-07-__/sess010/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess010__log001.npz,1303,710
2018-07-__/sess011/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess011__log001.npz,1378,0
2018-07-__/sess012/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess012__log001.npz,532,0
2018-07-__/sess013/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess013__log001.npz,958,0
2018-07-__/sess013/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess013__log002.npz,369,0
2018-07-__/sess013/log003,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess013__log003.npz,1597,0
2018-07-__/sess014/log003,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess014__log003.npz,498,0
2018-07-__/sess015/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess015__log002.npz,329,0
2018-07-__/sess015/log005,ok,D:\UAV\data\processed\p2\aligned_npz\2018-07-____sess015__log005.npz,759,0
2018-08-19/sess071/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-19__sess071__log001.npz,1753,912
2018-08-19/sess072/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-19__sess072__log001.npz,1393,212
2018-08-19/sess073/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-19__sess073__log001.npz,1058,0
2018-08-19/sess076/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-19__sess076__log001.npz,1218,270
2018-08-19/sess078/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-19__sess078__log001.npz,1382,416
2018-08-21/sess003/log003,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-21__sess003__log003.npz,1733,0
2018-08-21/sess004/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-21__sess004__log002.npz,2053,0
2018-08-21/sess005/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-21__sess005__log001.npz,1092,0
2018-08-21/sess005/log003,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-21__sess005__log003.npz,1555,0
2018-08-26-29/sess002/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-26-29__sess002__log001.npz,1231,0
2018-08-26-29/sess003/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-26-29__sess003__log002.npz,1722,0
2018-08-26-29/sess004/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-26-29__sess004__log001.npz,1612,0
2018-08-26-29/sess005/log001,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-26-29__sess005__log001.npz,1131,0
2018-08-26-29/sess006/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-26-29__sess006__log002.npz,1381,0
2018-08-26-29/sess012/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-26-29__sess012__log002.npz,1232,0
2018-08-31-09.01/2016-02-11/19_33_10,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2016-02-11__19_33_10.npz,1167,1020
2018-08-31-09.01/2016-02-11/19_37_50,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2016-02-11__19_37_50.npz,696,559
2018-08-31-09.01/2016-02-11/19_39_21,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2016-02-11__19_39_21.npz,1004,657
2018-08-31-09.01/2016-02-11/19_42_51,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2016-02-11__19_42_51.npz,741,535
2018-08-31-09.01/2016-02-11/19_43_10,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2016-02-11__19_43_10.npz,477,360
2018-08-31-09.01/2016-02-11/19_46_53,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2016-02-11__19_46_53.npz,612,245
2018-08-31-09.01/2016-02-11/19_49_04,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2016-02-11__19_49_04.npz,846,0
2018-08-31-09.01/2016-02-11/19_55_58,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2016-02-11__19_55_58.npz,768,0
2018-08-31-09.01/2018-08-31/14_23_58,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__2018-08-31__14_23_58.npz,630,0
2018-08-31-09.01/part2/2018-09-01/19_41_50,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__part2__2018-09-01__19_41_50.npz,788,0
2018-08-31-09.01/part2/2018-09-01/19_43_56,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__part2__2018-09-01__19_43_56.npz,885,232
2018-08-31-09.01/part2/2018-09-01/19_46_14,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__part2__2018-09-01__19_46_14.npz,891,0
2018-08-31-09.01/part2/2018-09-01/19_48_12,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__part2__2018-09-01__19_48_12.npz,267,0
2018-08-31-09.01/part2/2018-09-01/19_49_31,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__part2__2018-09-01__19_49_31.npz,723,423
2018-08-31-09.01/part2/2018-09-01/19_51_23,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__part2__2018-09-01__19_51_23.npz,456,376
2018-08-31-09.01/sess003/log002,ok,D:\UAV\data\processed\p2\aligned_npz\2018-08-31-09.01__sess003__log002.npz,1290,0
2018-09-03/2016-02-11/19_35_56,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2016-02-11__19_35_56.npz,257,216
2018-09-03/2016-02-11/19_36_31,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2016-02-11__19_36_31.npz,279,0
2018-09-03/2016-02-11/19_36_59,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2016-02-11__19_36_59.npz,636,483
2018-09-03/2018-09-03/13_13_56,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__13_13_56.npz,714,0
2018-09-03/2018-09-03/13_17_32,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__13_17_32.npz,1441,217
2018-09-03/2018-09-03/13_22_41,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__13_22_41.npz,1703,96
2018-09-03/2018-09-03/13_31_17,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__13_31_17.npz,1157,0
2018-09-03/2018-09-03/13_46_06,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__13_46_06.npz,1000,0
2018-09-03/2018-09-03/13_52_01,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__13_52_01.npz,624,0
2018-09-03/2018-09-03/13_56_47,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__13_56_47.npz,448,0
2018-09-03/2018-09-03/14_00_53,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__14_00_53.npz,862,0
2018-09-03/2018-09-03/14_09_02,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__14_09_02.npz,2117,112
2018-09-03/2018-09-03/14_14_46,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__14_14_46.npz,664,64
2018-09-03/2018-09-03/14_17_16,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__14_17_16.npz,777,0
2018-09-03/2018-09-03/14_21_00,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__14_21_00.npz,292,82
2018-09-03/2018-09-03/14_22_52,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__14_22_52.npz,792,0
2018-09-03/2018-09-03/14_26_07,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-03__2018-09-03__14_26_07.npz,655,405
2018-09-05/14_21_31,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__14_21_31.npz,1096,926
2018-09-05/17_39_27,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__17_39_27.npz,343,0
2018-09-05/17_41_11,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__17_41_11.npz,1502,0
2018-09-05/17_49_30,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__17_49_30.npz,265,0
2018-09-05/18_24_19,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__18_24_19.npz,304,0
2018-09-05/18_37_59,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__18_37_59.npz,1286,0
2018-09-05/19_51_56,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__19_51_56.npz,537,0
2018-09-05/2016-02-11/19_31_37,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__2016-02-11__19_31_37.npz,672,0
2018-09-05/2016-02-11/19_34_40,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__2016-02-11__19_34_40.npz,472,279
2018-09-05/2016-02-11/19_41_03,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__2016-02-11__19_41_03.npz,1489,1176
2018-09-05/2016-02-11/21_32_08,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__2016-02-11__21_32_08.npz,224,0
2018-09-05/20_18_22,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-05__20_18_22.npz,347,0
2018-09-06/13_26_57,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__13_26_57.npz,531,396
2018-09-06/13_32_57,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__13_32_57.npz,1479,926
2018-09-06/13_41_28,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__13_41_28.npz,1633,921
2018-09-06/13_45_46,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__13_45_46.npz,623,0
2018-09-06/13_48_45,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__13_48_45.npz,941,0
2018-09-06/13_56_05,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__13_56_05.npz,1103,901
2018-09-06/14_03_07,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_03_07.npz,609,484
2018-09-06/14_06_21,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_06_21.npz,406,0
2018-09-06/14_08_52,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_08_52.npz,853,150
2018-09-06/14_16_08,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_16_08.npz,393,0
2018-09-06/14_18_57,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_18_57.npz,345,77
2018-09-06/14_21_27,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_21_27.npz,319,86
2018-09-06/14_23_19,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_23_19.npz,482,295
2018-09-06/14_27_29,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_27_29.npz,491,360
2018-09-06/14_33_25,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_33_25.npz,388,233
2018-09-06/14_36_29,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_36_29.npz,459,176
2018-09-06/14_38_29,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_38_29.npz,414,26
2018-09-06/14_47_07,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_47_07.npz,582,105
2018-09-06/14_53_40,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_53_40.npz,425,0
2018-09-06/14_54_24,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__14_54_24.npz,385,74
2018-09-06/15_00_19,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__15_00_19.npz,897,673
2018-09-06/15_03_26,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__15_03_26.npz,1018,0
2018-09-06/2016-02-12/01_02_39,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-06__2016-02-12__01_02_39.npz,278,0
2018-09-07/12_34_09,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__12_34_09.npz,1484,0
2018-09-07/12_39_45,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__12_39_45.npz,1248,180
2018-09-07/12_48_42,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__12_48_42.npz,316,27
2018-09-07/12_51_41,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__12_51_41.npz,792,79
2018-09-07/12_57_30,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__12_57_30.npz,426,332
2018-09-07/12_59_34,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__12_59_34.npz,670,386
2018-09-07/13_02_17,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_02_17.npz,725,647
2018-09-07/13_04_43,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_04_43.npz,815,0
2018-09-07/13_07_23,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_07_23.npz,817,0
2018-09-07/13_10_36,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_10_36.npz,1023,130
2018-09-07/13_20_12,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_20_12.npz,399,204
2018-09-07/13_23_31,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_23_31.npz,372,81
2018-09-07/13_26_48,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_26_48.npz,237,57
2018-09-07/13_29_47,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_29_47.npz,505,51
2018-09-07/13_39_11,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_39_11.npz,909,140
2018-09-07/13_52_43,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_52_43.npz,567,82
2018-09-07/13_58_13,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__13_58_13.npz,842,0
2018-09-07/14_03_01,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__14_03_01.npz,851,0
2018-09-07/14_10_59,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__14_10_59.npz,782,685
2018-09-07/14_16_20,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__14_16_20.npz,741,0
2018-09-07/14_19_21,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__14_19_21.npz,1167,0
2018-09-07/14_26_54,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__14_26_54.npz,1077,0
2018-09-07/14_30_45,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__14_30_45.npz,716,0
2018-09-07/14_43_50,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-07__14_43_50.npz,436,0
2018-09-08/17_20_54,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-08__17_20_54.npz,999,181
2018-09-08/17_26_26,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-08__17_26_26.npz,638,340
2018-09-08/17_30_27,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-08__17_30_27.npz,968,0
2018-09-08/17_36_24,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-08__17_36_24.npz,840,371
2018-09-08/17_40_05,ok,D:\UAV\data\processed\p2\aligned_npz\2018-09-08__17_40_05.npz,433,0
