channel,topic,subsystem_original,rationale_original,feature_count_original,subsystem_document,rationale_document,feature_count_document,agreement
vehicle_local_position.dist_bottom,vehicle_local_position,Altitude,vertical/range state,18,Altitude,vertical position/range/landing-state field,18,True
vehicle_local_position.dist_bottom_rate,vehicle_local_position,Altitude,vertical/range state,18,Altitude,vertical position/range/landing-state field,18,True
vehicle_local_position.eph,vehicle_local_position,Global Position,horizontal/global state,18,Global Position,horizontal position/velocity/accuracy field,18,True
vehicle_local_position.epv,vehicle_local_position,Global Position,horizontal/global state,18,Altitude,vertical position/range/landing-state field,18,False
vehicle_local_position.vx,vehicle_local_position,Global Position,horizontal/global state,18,Global Position,horizontal position/velocity/accuracy field,18,True
vehicle_local_position.vy,vehicle_local_position,Global Position,horizontal/global state,18,Global Position,horizontal position/velocity/accuracy field,18,True
vehicle_local_position.vz,vehicle_local_position,Altitude,vertical/range state,18,Altitude,vertical position/range/landing-state field,18,True
vehicle_local_position.x,vehicle_local_position,Global Position,horizontal/global state,18,Global Position,horizontal position/velocity/accuracy field,18,True
vehicle_local_position.y,vehicle_local_position,Global Position,horizontal/global state,18,Global Position,horizontal position/velocity/accuracy field,18,True
vehicle_local_position.z,vehicle_local_position,Altitude,vertical/range state,18,Altitude,vertical position/range/landing-state field,18,True
vehicle_rates_setpoint.pitch,vehicle_rates_setpoint,Mechanical/Electrical,actuation/inertial/system health,18,Mechanical/Electrical,actuation/power/inertial/control-health field,18,True
vehicle_rates_setpoint.roll,vehicle_rates_setpoint,Mechanical/Electrical,actuation/inertial/system health,18,Mechanical/Electrical,actuation/power/inertial/control-health field,18,True
vehicle_rates_setpoint.yaw,vehicle_rates_setpoint,Global Position,horizontal/global state,18,Mechanical/Electrical,actuation/power/inertial/control-health field,18,False
vehicle_status.arming_state,vehicle_status,Shared,context/control state,18,Shared,control/context or cross-domain estimator field,18,True
vehicle_status.nav_state,vehicle_status,Shared,context/control state,18,Shared,control/context or cross-domain estimator field,18,True
vehicle_vision_position.x,vehicle_vision_position,External Position,visual-position estimate,18,External Position,external-vision position field,18,True
vehicle_vision_position.y,vehicle_vision_position,External Position,visual-position estimate,18,External Position,external-vision position field,18,True
vehicle_vision_position.z,vehicle_vision_position,External Position,visual-position estimate,18,External Position,external-vision position field,18,True
