log_key,split
2018-08-31-09.01/part2/2018-09-01/19_46_14,train
2018-08-31-09.01/part2/2018-09-01/19_48_12,train
2018-08-31-09.01/part2/2018-09-01/19_49_31,train
2018-08-31-09.01/part2/2018-09-01/19_51_23,train
2018-08-31-09.01/sess003/log002,train
2018-09-03/2016-02-11/19_35_56,test
2018-09-03/2016-02-11/19_36_31,train
2018-09-03/2016-02-11/19_36_59,validation
2018-09-03/2018-09-03/13_13_56,train
2018-09-03/2018-09-03/13_17_32,validation
2018-09-03/2018-09-03/13_22_41,test
2018-09-03/2018-09-03/13_31_17,train
2018-09-03/2018-09-03/13_46_06,train
2018-09-03/2018-09-03/13_52_01,train
2018-09-03/2018-09-03/13_56_47,validation
2018-09-03/2018-09-03/14_00_53,train
2018-09-03/2018-09-03/14_09_02,train
2018-09-03/2018-09-03/14_14_46,train
2018-09-03/2018-09-03/14_17_16,validation
2018-09-03/2018-09-03/14_21_00,train
2018-09-03/2018-09-03/14_22_52,validation
2018-09-03/2018-09-03/14_26_07,test
2018-09-05/14_21_31,train
2018-09-05/17_39_27,train
2018-09-05/17_41_11,test
2018-09-05/17_49_30,train
2018-09-05/18_24_19,train
2018-09-05/18_37_59,train
2018-09-05/19_51_56,train
2018-09-05/2016-02-11/19_31_37,validation
2018-09-05/2016-02-11/19_34_40,train
2018-09-05/2016-02-11/19_41_03,train
2018-09-05/2016-02-11/21_32_08,train
2018-09-05/20_18_22,train
2018-09-06/13_26_57,train
2018-09-06/13_32_57,test
2018-09-06/13_41_28,train
2018-09-06/13_45_46,train
2018-09-06/13_48_45,validation
2018-09-06/13_56_05,validation
2018-09-06/14_03_07,train
2018-09-06/14_06_21,train
2018-09-06/14_08_52,train
2018-09-06/14_16_08,train
2018-09-06/14_18_57,train
2018-09-06/14_21_27,train
2018-09-06/14_23_19,train
2018-09-06/14_27_29,train
2018-09-06/14_33_25,train
2018-09-06/14_36_29,train
2018-09-06/14_38_29,validation
2018-09-06/14_47_07,train
2018-09-06/14_53_40,train
2018-09-06/14_54_24,train
2018-09-06/15_00_19,test
2018-09-06/15_03_26,train
2018-09-06/2016-02-12/01_02_39,train
2018-09-07/12_34_09,validation
2018-09-07/12_39_45,train
2018-09-07/12_48_42,train
2018-09-07/12_51_41,train
2018-09-07/12_57_30,validation
2018-09-07/12_59_34,train
2018-09-07/13_02_17,test
2018-09-07/13_04_43,train
2018-09-07/13_07_23,train
2018-09-07/13_10_36,train
2018-09-07/13_20_12,train
2018-09-07/13_23_31,train
2018-09-07/13_26_48,train
2018-09-07/13_29_47,validation
2018-09-07/13_39_11,train
2018-09-07/13_52_43,train
2018-09-07/13_58_13,train
2018-09-07/14_03_01,test
2018-09-07/14_10_59,test
2018-09-07/14_16_20,test
2018-09-07/14_19_21,train
2018-09-07/14_26_54,test
2018-09-07/14_30_45,train
2018-09-07/14_43_50,train
2018-09-08/17_20_54,validation
2018-09-08/17_26_26,train
2018-09-08/17_30_27,train
2018-09-08/17_36_24,train
2018-09-08/17_40_05,validation
2018-09-08/17_41_57,validation
2018-09-08/17_44_37,train
2018-09-08/17_48_46,train
2018-09-08/17_50_22,validation
2018-09-08/17_56_44,train
2018-09-08/17_58_39,train
2018-09-08/18_01_14,test
2018-09-08/18_03_08,train
2018-09-08/18_07_55,validation
2018-09-08/18_11_27,test
2018-09-08/18_15_39,train
2018-09-08/18_18_28,train
2018-09-08/18_21_08,test
2018-09-08/18_23_15,train
2018-09-08/18_26_14,train
2018-09-08/18_29_43,train
2018-09-08/18_31_20,test
2018-09-08/18_33_06,train
2018-09-08/18_37_09,train
2018-09-08/18_40_19,train
2018-09-08/18_42_34,train
2018-09-08/18_46_38,train
2018-09-08/18_51_39,train
2018-09-08/18_54_01,train
2018-09-08/18_56_26,train
2018-09-10/07_29_03,train
2018-09-10/07_33_01,validation
2018-09-10/07_36_58,train
2018-09-10/07_41_13,test
2018-09-10/07_44_54,train
2018-09-10/07_47_58,train
2018-09-10/07_52_17,validation
2018-09-10/07_54_58,train
2018-09-10/07_58_30,test
2018-09-10/08_02_49,train
2018-09-10/08_04_54,validation
2018-09-10/08_07_27,train
2018-09-10/08_10_16,validation
2018-09-10/08_13_04,train
2018-09-10/08_15_27,train
2018-09-10/08_20_33,train
2018-09-10/08_23_45,validation
2018-09-10/08_27_38,validation
2018-09-10/08_30_01,train
2018-09-10/08_32_37,train
2018-09-10/08_41_34,train
2018-09-10/19_07_23,train
2018-09-10/19_12_58,test
2018-09-10/19_15_38,validation
2018-09-10/19_19_16,train
2018-09-10/19_21_54,train
2018-09-10/19_24_47,train
2018-09-11/07_25_53,train
2018-09-11/07_29_26,train
2018-09-11/07_31_37,train
2018-09-11/07_36_30,train
2018-09-11/07_38_44,train
2018-09-11/07_42_11,train
2018-09-11/07_45_17,train
2018-09-11/07_46_51,validation
2018-09-11/07_51_46,test
2018-09-11/07_54_52,train
2018-09-11/07_55_43,train
2018-09-11/07_57_54,test
2018-09-11/08_00_34,train
2018-09-11/08_03_41,test
2018-09-11/08_07_20,train
2018-09-11/08_12_21,train
2018-09-11/08_16_50,train
2018-09-11/08_18_39,train
2018-09-11/08_22_25,train
2018-09-11/08_25_54,test
2018-09-11/08_30_17,train
2018-09-12/18_35_39,train
2018-09-12/18_38_27,train
2018-09-12/18_42_41,train
2018-09-12/18_46_47,validation
2018-09-12/18_48_30,train
2018-09-12/18_51_50,train
2018-09-12/18_59_10,train
2018-09-12/19_14_19,train
2018-09-12/19_20_24,validation
2018-09-12/19_28_20,test
2018-09-14/07_36_08,train
2018-09-14/07_40_52,train
2018-09-14/07_45_42,test
2018-09-14/07_49_38,test
2018-09-14/07_52_46,validation
2018-09-14/07_55_09,test
2018-09-14/07_57_33,train
2018-09-14/08_00_52,validation
2018-09-14/08_05_42,validation
2018-09-14/08_18_08,train
2018-09-14/08_27_55,test
2018-09-14/08_57_38,train
2018-09-14/09_02_59,train
2018-09-14/09_08_16,train
2018-09-15/16_57_53,validation
2018-09-15/17_01_53,train
2018-09-15/17_10_15,validation
2018-09-15/17_16_19,train
2018-09-15/17_20_38,validation
2018-09-15/17_21_15,train
2018-09-15/17_22_19,validation
2018-09-15/17_28_56,train
2018-09-15/17_33_56,train
2018-09-15/17_36_51,test
2018-09-15/17_48_11,validation
2018-09-15/17_59_18,train
2018-09-15/18_07_28,test
2018-09-15/18_07_41,train
2018-09-15/18_16_47,train
2018-09-15/18_21_12,train
2018-09-15/18_27_16,train
2018-09-15/18_36_56,train
2018-09-15/18_41_01,train
2018-09-15/18_45_33,test
2018-09-17/07_34_37,train
2018-09-17/07_46_13,train
2018-09-17/07_50_34,train
2018-09-17/07_58_08,train
2018-09-17/08_07_28,train
2018-09-17/08_17_29,train
2018-09-17/08_24_05,train
2018-09-17/08_28_04,train
2018-09-17/08_33_10,train
2018-09-17/08_40_43,test
2018-09-17/18_35_46,train
2018-09-17/18_40_08,test
2018-09-17/18_55_54,train
2018-09-18/07_38_12,train
2018-09-18/07_41_25,train
2018-09-18/07_44_24,test
2018-09-18/07_48_03,train
2018-09-18/07_55_26,train
2018-09-18/08_04_48,train
2018-09-18/08_23_46,test
2018-09-18/08_29_22,train
2018-09-18/08_39_17,train
2018-09-18/08_43_39,train
2018-09-18/08_48_35,train
2018-09-18/08_51_40,train
2018-09-18/08_57_01,validation
2018-09-18/09_02_23,test
2018-09-19/07_32_22,train
2018-09-19/07_38_07,train
2018-09-19/07_41_00,test
2018-09-19/07_49_34,test
2018-09-19/07_57_22,train
2018-09-19/07_57_41,train
2018-09-19/08_02_15,train
2018-09-19/08_17_46,train
2018-09-19/08_18_11,train
2018-09-19/08_25_55,train
2018-09-19/08_35_21,train
2018-09-19/08_49_39,train
2018-09-19/08_49_56,train
2018-09-19/08_55_56,test
2018-09-19/09_05_21,train
2018-09-19/15_30_55,test
2018-09-19/15_36_37,test
2018-09-19/15_48_59,train
2018-09-19/15_58_27,train
2018-09-19/16_08_00,test
2018-09-19/16_16_36,validation
2018-09-19/16_22_54,test
2018-09-19/16_29_03,train
2018-09-21/07_57_12,test
2018-09-21/07_57_25,train
2018-09-21/08_04_59,train
2018-09-21/08_16_20,train
2018-09-21/19_14_06,train
2018-09-21/19_19_30,train
2018-09-21/19_19_57,train
2018-09-21/19_33_07,train
2018-09-21/19_36_27,validation
2018-09-21/20_05_46,train
2018-09-21/20_06_05,train
2018-09-21/20_07_57,test
2018-09-21/20_17_16,validation
2018-09-21/20_24_01,test
2018-09-21/20_35_04,train
2018-09-21/20_40_36,train
2018-09-25/07_29_31,train
2018-09-25/07_34_04,test
2018-09-25/07_39_04,train
2018-09-25/07_42_48,validation
2018-09-25/07_44_21,train
2018-09-25/07_50_00,validation
2018-09-25/07_52_26,train
2018-09-25/07_57_05,train
2018-09-25/08_03_16,train
2018-09-25/08_11_51,train
2018-09-25/08_19_32,train
2018-09-25/08_26_41,train
2018-09-27/07_23_56,train
2018-09-27/08_01_35,train
2018-09-27/08_08_56,train
2018-09-27/08_11_29,train
2018-09-27/08_12_10,test
2018-09-27/08_20_24,train
2018-09-27/08_27_10,train
2018-09-27/08_32_37,test
2018-09-27/08_37_20,train
2018-10-01/07_36_14,train
2018-10-01/07_43_29,validation
2018-10-01/07_50_55,train
2018-10-01/07_55_01,train
2018-10-01/07_59_19,train
2018-10-01/08_05_14,train
2018-10-01/08_08_19,train
2018-10-01/08_10_03,train
2018-10-01/08_14_21,test
2018-10-01/08_15_13,train
2018-10-01/08_20_48,test
2018-10-01/08_26_38,train
2018-10-01/08_31_51,train
2018-10-01/08_41_21,train
2018-10-01/08_46_57,train
2018-10-01/08_48_32,validation
2018-10-01/08_53_13,validation
2018-10-02/07_24_27,train
2018-10-02/07_28_05,train
2018-10-02/07_32_32,validation
2018-10-02/07_37_01,train
2018-10-02/07_41_57,validation
2018-10-02/07_49_36,train
2018-10-02/07_53_56,train
2018-10-02/08_00_39,train
2018-10-02/08_08_56,train
2018-10-02/08_18_28,train
2018-10-02/08_29_35,train
2018-10-02/08_37_23,train
2018-10-03/18_26_20,validation
2018-10-03/18_31_32,train
2018-10-03/18_43_39,train
2018-10-03/18_49_12,train
2018-10-03/18_53_54,train
2018-10-04/07_01_22,train
2018-10-04/07_01_29,test
2018-10-04/07_08_03,test
2018-10-04/07_10_48,train
2018-10-04/07_12_22,train
2018-10-04/07_12_27,test
2018-10-04/07_12_50,train
2018-10-04/07_13_35,train
2018-10-04/07_14_07,train
2018-10-04/07_14_51,train
2018-10-04/07_17_05,train
2018-10-04/07_21_35,train
2018-10-04/07_22_10,test
2018-10-04/07_25_27,train
2018-10-04/07_27_11,train
2018-10-04/07_27_21,train
2018-10-04/07_29_32,train
2018-10-04/07_29_45,test
2018-10-04/07_30_31,train
2018-10-04/07_33_16,train
2018-10-04/07_38_25,test
2018-10-04/07_38_32,train
2018-10-04/07_43_05,validation
2018-10-04/07_51_56,train
2018-10-04/07_54_23,train
2018-10-04/08_00_43,train
2018-10-04/08_04_18,test
2018-10-27/15_43_20,train
2018-10-27/15_43_51,train
2018-10-27/15_48_34,train
2018-10-27/15_51_46,train
2018-10-27/15_57_23,train
2018-10-27/16_00_09,train
2018-11-20/15_16_18,train
2018-11-20/15_17_09,train
2018-11-20/15_20_01,validation
2018-11-20/15_21_47,train
2018-11-20/15_23_51,train
2018-11-20/15_25_52,train
2018-11-20/15_27_34,train
2018-11-20/15_29_13,train
2018-11-20/15_32_06,train
2018-11-20/15_33_12,train
2018-11-23/08_30_27,validation
2018-11-23/08_33_49,train
2018-11-23/08_34_02,validation
2018-11-23/08_34_50,train
2018-11-23/08_55_29,train
2018-11-27/07_32_30,train
2018-11-27/07_36_53,train
2018-11-27/07_42_38,train
2018-11-27/07_45_59,train
2018-11-27/07_52_27,validation
2018-11-27/07_59_06,train
2018-11-27/08_11_22,train
2018-11-27/08_27_47,train
2018-11-27/08_49_45,test
2018-11-27/08_56_16,train
2018-11-28/07_33_39,validation
2018-11-28/07_37_08,test
2018-11-28/07_56_05,train
2018-11-28/08_03_10,train
2018-11-28/08_10_09,train
2018-11-28/08_13_50,train
2018-11-28/08_21_52,validation
2018-11-28/08_30_57,train
2018-11-28/08_39_43,train
2018-11-28/08_47_22,train
2018-11-28/08_50_43,train
2018-11-28/08_59_11,train
2018-12-03/07_26_23,train
2018-12-03/07_31_50,validation
2018-12-03/07_43_15,train
2018-12-03/07_46_16,train
2018-12-03/07_52_12,train
2018-12-03/08_17_36,train
2018-12-03/08_38_02,train
2018-12-03/08_45_02,train
2018-12-03/08_52_22,train
2018-12-03/09_02_02,test
2018-12-04/07_45_29,test
2018-12-04/07_49_33,train
2018-12-04/07_52_44,train
2018-12-04/08_01_22,train
2018-12-04/08_06_40,train
2018-12-04/08_13_32,train
2018-12-04/08_20_03,train
2018-12-04/08_31_08,train
2018-12-04/08_43_22,train
2018-12-04/08_47_34,train
2018-12-04/08_50_47,train
2018-12-04/08_53_58,test
2018-12-10/07_58_08,train
2018-12-10/08_15_58,test
2018-12-10/08_30_26,train
2018-12-10/08_38_24,train
2018-12-10/08_49_01,test
2018-12-10/08_56_21,test
2018-12-10/09_08_26,validation
2018-12-10/09_20_57,train
2018-12-12/07_54_55,train
2018-12-12/07_55_44,train
2018-12-12/08_00_15,train
2018-12-12/08_12_25,test
2018-12-12/08_24_39,test
2018-12-12/08_33_25,test
2018-12-14/07_34_35,test
2018-12-14/07_46_36,train
2018-12-14/08_10_21,train
2018-12-14/08_22_39,validation
2018-12-14/08_32_31,train
2018-12-18/07_49_52,train
2018-12-18/07_52_04,train
2018-12-18/07_58_10,train
2018-12-18/08_03_22,train
2018-12-18/08_03_53,train
2018-12-18/08_12_51,train
2018-12-18/08_18_02,validation
2018-12-18/08_34_53,train
2018-12-18/08_54_02,validation
2018-12-18/08_54_19,train
2018-12-18/09_04_09,train
2018-12-18/09_12_16,train
2018-12-18/09_23_05,train
2018-12-19/07_49_17,test
2018-12-19/08_06_30,train
2018-12-19/08_14_47,train
2018-12-19/08_26_15,train
2018-12-19/08_36_16,validation
2018-12-19/08_41_40,train
2018-12-19/08_46_23,test
2018-12-19/08_51_09,train
2018-12-19/08_53_47,validation
2018-12-19/09_06_25,train
2018-12-19/09_09_45,test
2018-12-19/09_13_26,test
2018-12-19/09_17_32,train
2018-12-19/09_21_35,train
2018-12-19/09_24_29,test
2018-12-19/09_28_17,train
2018-12-19/09_29_42,train
2018-12-19/09_31_54,train
2018-12-19/09_33_46,train
2018-12-20/07_21_02,train
2018-12-20/07_25_57,validation
2018-12-20/07_28_32,train
2018-12-20/07_31_37,train
2018-12-20/07_34_46,train
2018-12-20/07_38_28,validation
2018-12-20/07_44_23,validation
2018-12-20/07_47_50,test
2018-12-20/07_54_50,train
2018-12-20/07_58_46,train
2018-12-20/08_06_15,test
2018-12-20/08_20_49,train
2018-12-20/08_31_12,train
2018-12-20/08_46_30,test
2018-12-20/08_52_31,train
2018-12-20/08_57_35,train
2018-12-20/09_09_45,train
2018-12-20/09_15_00,train
2018-12-20/09_24_00,train
2018-12-20/09_48_11,train
2018-12-25/08_44_40,test
2018-12-25/08_51_51,train
2018-12-26/08_53_50,train
2018-12-26/08_57_28,test
2018-12-26/09_00_35,test
2018-12-26/09_04_28,train
2018-12-26/09_06_38,train
2018-12-26/09_10_31,train
2018-12-26/09_15_44,validation
2018-12-26/09_24_37,train
2018-12-26/09_44_29,train
2018-12-26/09_52_44,test
2018-12-26/09_57_56,test
2018-12-26/17_34_44,test
2018-12-27/08_37_46,test
2018-12-27/08_40_59,train
2018-12-27/08_42_11,test
2018-12-27/08_54_56,train
2018-12-27/08_55_33,test
2018-12-27/08_56_36,train
2018-12-27/08_57_51,train
2018-12-27/09_01_48,train
2018-12-27/09_03_21,test
2018-12-27/09_04_46,train
2018-12-27/09_06_32,train
2018-12-27/09_30_59,train
2018-12-27/09_36_06,train
2018-12-27/09_46_16,train
2018-12-28/08_13_51,test
2018-12-28/08_17_25,train
2018-12-28_oncesi_loglar/sess009/log001,train
2018-12-28_oncesi_loglar/sess010/log004,train
2018-12-31/11_05_14,train
2019-01-01/14_39_39,test
2019-01-01/14_44_02,train
2019-01-01/15_35_34,train
2019-01-01/15_37_30,validation
2019-01-01/15_39_02,train
2019-01-03/07_45_20,train
2019-01-03/08_09_31,train
2019-01-04/08_01_09,test
2019-01-04/08_35_09,train
2019-01-04/08_41_03,train
2019-01-04/08_48_19,train
2019-01-04/08_52_38,train
2019-01-04/09_01_28,train
2019-01-04/09_03_36,train
2019-01-04/09_05_55,train
2019-01-04/09_10_41,train
2019-01-04/09_17_44,test
2019-01-04/09_20_06,train
2019-01-04/09_22_14,train
2019-01-04/09_24_22,train
2019-01-04/sess003/log001,train
2019-01-04/sess003/log002,train
2019-01-07/07_29_12,train
2019-01-07/07_37_38,train
2019-01-07/07_45_18,train
2019-01-07/07_50_14,train
2019-01-07/07_53_55,train
2019-01-07/07_59_38,test
2019-01-07/08_08_23,train
2019-01-07/08_16_37,train
2019-01-07/08_21_01,train
2019-01-07/08_27_59,train
2019-01-07/08_35_59,train
2019-01-07/08_40_52,train
2019-01-08/07_56_17,train
2019-01-08/08_08_14,train
2019-01-08/08_16_07,test
2019-01-08/08_25_04,validation
2019-01-08/08_30_41,train
2019-01-08/08_39_45,validation
2019-01-08/08_45_03,validation
2019-01-08/08_52_50,train
2019-01-08/08_56_03,train
2019-01-08/09_05_30,train
2019-01-09/07_43_46,train
2019-01-09/07_49_13,train
2019-01-09/07_59_28,test
2019-01-09/08_06_58,train
2019-01-09/08_18_23,train
2019-01-09/08_22_55,validation
2019-01-09/08_32_29,validation
2019-01-09/08_40_49,train
2019-01-15/07_28_00,train
2019-01-15/07_32_02,train
2019-01-15/07_40_31,train
2019-01-15/07_49_03,validation
2019-01-15/08_02_55,train
2019-01-15/08_14_07,train
2019-01-15/08_31_01,train
2019-01-15/08_46_05,train
2019-01-16/07_21_48,train
2019-01-16/07_39_29,train
2019-01-16/07_42_54,validation
2019-01-16/07_49_46,train
2019-01-16/08_21_02,train
2019-01-16/08_28_05,validation
2019-01-16/08_54_47,train
2019-01-18/07_19_34,train
2019-01-18/07_23_51,validation
2019-01-18/07_28_38,train
2019-01-18/07_35_54,train
2019-01-18/07_41_23,validation
2019-01-18/07_44_44,train
2019-01-18/08_07_57,train
2019-01-18/08_16_34,train
2019-01-18/08_26_38,train
2019-01-18/08_37_09,train
2019-01-18/08_39_38,validation
2019-01-18/08_44_30,test
2019-01-18/08_50_33,train
2019-01-18/08_58_39,test
2019-01-18/09_04_40,validation
2019-01-18/09_07_45,test
2019-01-21/07_29_16,validation
2019-01-21/07_33_50,train
2019-01-21/07_44_07,train
2019-01-21/07_49_14,validation
2019-01-21/07_57_00,train
2019-01-22/07_22_12,train
2019-01-22/07_24_25,train
2019-01-22/07_27_52,train
2019-01-22/07_33_37,train
2019-01-22/07_42_25,train
2019-01-22/07_51_08,train
2019-01-22/07_57_29,train
2019-01-22/08_11_46,train
2019-01-22/08_19_51,test
2019-01-22/08_41_38,train
2019-01-22/08_45_12,train
2019-01-25/16_14_57,train
2019-01-25/16_18_07,train
2019-01-25/16_23_32,test
2019-01-25/16_25_23,train
2019-01-25/16_29_46,train
2019-01-25/16_32_19,train
2019-01-25/16_34_39,train
2019-01-25/16_38_11,test
2019-01-25/16_41_38,train
2019-01-25/16_45_32,validation
2019-01-25/16_50_43,train
2019-01-25/16_59_31,train
2019-01-25/17_03_27,validation
2019-01-25/17_19_25,validation
2019-01-25/17_29_58,train
2019-01-25/17_38_05,validation
2019-01-25/17_44_04,train
2019-01-25/17_50_15,train
2019-01-25/17_51_46,train
2019-01-25/17_54_48,validation
2019-01-25/17_59_53,train
2019-01-28/15_14_24,train
2019-01-28/15_17_31,train
2019-01-28/15_24_45,train
2019-01-28/15_31_46,train
2019-01-28/15_46_35,train
2019-01-28/16_03_07,test
2019-01-28/16_06_14,validation
2019-01-28/16_10_47,train
2019-01-28/16_17_47,validation
2019-01-28/16_23_00,train
2019-01-28/16_26_32,train
2019-01-29/16_41_14,train
2019-01-29/16_45_53,train
2019-01-29/16_51_22,train
2019-01-29/17_01_15,train
2019-01-29/17_13_53,validation
2019-01-29/17_18_55,train
2019-01-29/17_23_03,validation
2019-01-29/17_37_45,train
2019-01-29/17_48_31,train
2019-01-29/17_58_35,train
2019-01-29/18_07_30,train
2019-01-29/18_17_27,train
2019-01-30/17_25_53,train
2019-01-30/17_35_02,train
2019-01-30/17_42_03,train
2019-01-30/17_51_14,test
2019-01-30/18_04_15,test
2019-01-30/18_07_38,train
2019-01-30/18_12_09,train
2019-01-30/18_15_57,train
2019-01-30/18_18_17,test
2019-01-30/18_21_23,train
2019-01-30/18_32_48,train
2019-01-30/18_34_02,train
2019-01-31/16_32_26,train
2019-01-31/16_37_13,validation
2019-01-31/16_41_44,validation
2019-01-31/16_48_38,test
2019-01-31/16_55_09,train
2019-01-31/16_58_10,train
2019-01-31/17_02_23,train
2019-01-31/17_12_34,validation
2019-01-31/17_19_54,train
2019-01-31/17_23_21,train
2019-01-31/17_26_14,train
2019-01-31/17_28_48,validation
2019-01-31/17_31_39,validation
2019-01-31/17_37_50,train
2019-01-31/17_40_52,train
2019-01-31/17_42_41,validation
2019-01-31/17_44_30,train
2019-01-31/17_49_08,train
2019-01-31/17_56_00,train
2019-01-31/18_04_39,train
2019-01-31/18_11_56,train
2019-02-01/17_35_12,validation
2019-02-01/17_42_55,train
2019-02-01/18_02_58,train
2019-02-01/18_15_04,test
2019-02-01/18_26_04,validation
2019-02-01/18_35_27,train
2019-02-05/10_15_24,validation
2019-02-05/10_30_25,train
2019-02-05/10_48_27,test
2019-02-05/10_53_17,train
2019-02-05/11_01_09,validation
2019-02-05/11_07_14,train
2019-02-05/11_16_29,validation
2019-02-05/11_25_38,train
2019-02-05/11_35_05,test
2019-02-06/07_46_01,test
2019-02-06/07_57_05,test
2019-02-06/07_59_29,train
2019-02-08/07_29_57,train
2019-02-08/07_40_45,train
2019-02-08/07_45_39,test
2019-02-08/07_53_34,train
2019-02-08/08_00_53,train
2019-02-08/08_06_46,train
2019-02-08/08_18_14,train
2019-02-08/08_29_45,test
2019-02-08/08_40_10,validation
2019-02-08/08_49_45,train
2019-02-08/08_53_46,validation
2019-02-08/09_07_22,validation
2019-02-11/10_20_38,train
2019-02-11/10_37_23,train
2019-02-11/10_52_28,validation
2019-02-11/11_01_12,train
2019-02-12/07_30_03,train
2019-02-12/07_33_49,train
2019-02-12/07_45_03,train
2019-02-12/07_52_53,validation
2019-02-12/07_59_34,validation
2019-02-12/08_10_21,train
2019-02-12/08_17_40,validation
2019-02-12/08_20_16,train
2019-02-12/08_24_14,validation
2019-02-12/08_26_49,train
2019-02-12/08_31_24,train
2019-02-12/08_36_32,test
2019-02-13/07_31_42,train
2019-02-13/07_36_10,test
2019-02-13/07_41_19,validation
2019-02-13/07_45_23,validation
2019-02-13/08_00_31,train
2019-02-13/08_10_10,test
2019-02-13/08_17_28,train
2019-02-13/08_28_09,train
2019-02-13/08_35_39,test
2019-02-13/08_44_32,train
2019-02-13/08_57_07,train
2019-02-13/09_11_41,train
2019-02-13/09_13_35,train
2019-02-14/07_31_47,test
