dataset,group,run_id,source,file
development,normal,inav_local_z_freeze__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,cache/development_normal_inav_local_z_freeze__2019-01-18__08_39_38__baseline.npz
development,reference,inav_local_z_freeze__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,cache/development_reference_inav_local_z_freeze__2019-01-18__08_39_38__fault.npz
development,normal,inav_local_z_freeze__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,cache/development_normal_inav_local_z_freeze__2019-01-25__17_38_05__baseline.npz
development,reference,inav_local_z_freeze__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,cache/development_reference_inav_local_z_freeze__2019-01-25__17_38_05__fault.npz
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,cache/development_normal_inav_local_z_freeze__2019-03-06__08_02_26__baseline.npz
development,reference,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,cache/development_reference_inav_local_z_freeze__2019-03-06__08_02_26__fault.npz
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,2019-01-18__08_39_38,cache/development_normal_land_detector_state_inversion__2019-01-18__08_39_38__baseline.npz
development,reference,land_detector_state_inversion__2019-01-18__08_39_38__fault,2019-01-18__08_39_38,cache/development_reference_land_detector_state_inversion__2019-01-18__08_39_38__fault.npz
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,2019-01-25__17_38_05,cache/development_normal_land_detector_state_inversion__2019-01-25__17_38_05__baseline.npz
development,reference,land_detector_state_inversion__2019-01-25__17_38_05__fault,2019-01-25__17_38_05,cache/development_reference_land_detector_state_inversion__2019-01-25__17_38_05__fault.npz
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,cache/development_normal_land_detector_state_inversion__2019-03-06__08_02_26__baseline.npz
development,reference,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,cache/development_reference_land_detector_state_inversion__2019-03-06__08_02_26__fault.npz
transfer,normal,commander_nav_state_override__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,cache/transfer_normal_commander_nav_state_override__2018-12-19__07_49_17__baseline.npz
transfer,reference,commander_nav_state_override__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,cache/transfer_reference_commander_nav_state_override__2018-12-19__07_49_17__fault.npz
transfer,normal,commander_nav_state_override__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,cache/transfer_normal_commander_nav_state_override__2018-12-20__07_47_50__baseline.npz
transfer,reference,commander_nav_state_override__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,cache/transfer_reference_commander_nav_state_override__2018-12-20__07_47_50__fault.npz
transfer,normal,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,cache/transfer_normal_commander_nav_state_override__2018-12-25__08_44_40__baseline.npz
transfer,reference,commander_nav_state_override__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,cache/transfer_reference_commander_nav_state_override__2018-12-25__08_44_40__fault.npz
transfer,normal,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,cache/transfer_normal_ekf2_innovation_bias__2018-12-19__07_49_17__baseline.npz
transfer,reference,ekf2_innovation_bias__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,cache/transfer_reference_ekf2_innovation_bias__2018-12-19__07_49_17__fault.npz
transfer,normal,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,cache/transfer_normal_ekf2_innovation_bias__2018-12-20__07_47_50__baseline.npz
transfer,reference,ekf2_innovation_bias__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,cache/transfer_reference_ekf2_innovation_bias__2018-12-20__07_47_50__fault.npz
transfer,normal,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,cache/transfer_normal_ekf2_innovation_bias__2018-12-25__08_44_40__baseline.npz
transfer,reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,cache/transfer_reference_ekf2_innovation_bias__2018-12-25__08_44_40__fault.npz
transfer,normal,inav_local_z_freeze__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,cache/transfer_normal_inav_local_z_freeze__2018-12-19__07_49_17__baseline.npz
transfer,reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,cache/transfer_reference_inav_local_z_freeze__2018-12-19__07_49_17__fault.npz
transfer,normal,inav_local_z_freeze__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,cache/transfer_normal_inav_local_z_freeze__2018-12-20__07_47_50__baseline.npz
transfer,reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,cache/transfer_reference_inav_local_z_freeze__2018-12-20__07_47_50__fault.npz
transfer,normal,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,cache/transfer_normal_inav_local_z_freeze__2018-12-25__08_44_40__baseline.npz
transfer,reference,inav_local_z_freeze__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,cache/transfer_reference_inav_local_z_freeze__2018-12-25__08_44_40__fault.npz
transfer,normal,land_detector_state_inversion__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,cache/transfer_normal_land_detector_state_inversion__2018-12-19__07_49_17__baseline.npz
transfer,reference,land_detector_state_inversion__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,cache/transfer_reference_land_detector_state_inversion__2018-12-19__07_49_17__fault.npz
transfer,normal,land_detector_state_inversion__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,cache/transfer_normal_land_detector_state_inversion__2018-12-20__07_47_50__baseline.npz
transfer,reference,land_detector_state_inversion__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,cache/transfer_reference_land_detector_state_inversion__2018-12-20__07_47_50__fault.npz
transfer,normal,land_detector_state_inversion__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,cache/transfer_normal_land_detector_state_inversion__2018-12-25__08_44_40__baseline.npz
transfer,reference,land_detector_state_inversion__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,cache/transfer_reference_land_detector_state_inversion__2018-12-25__08_44_40__fault.npz
